1,rjcuar,Sad life. #bigashindibala https://t.co/rntNf7GjtK
2,jamesgreyes,#BigasHindiBala  https://t.co/rgaGBvukiO
3,ortegapatriciaa,PATHETIC NA MGA PULIS #BigasHindiBala  https://t.co/DOvUx2WL44
4,Punyetabecia,"bigas
     kanin
palay

igas
     k nin
pa  y

#BigasHindiBala"
5,BOSSjimmyT,<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1> #BigasHindiBala  https://t.co/bTWxqjESnf
6,itscedrick,Yung mga kandidato na mabulaklak magsalita sa una pag nahalal madugo na <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> tss. #BigasHindiBala
7,CelestineBudz,@Senyora @ayessaxcamille #BigasHindiBala BRAVO ROBIN PADILLA
8,itscedrick,Palibhasa hindi sila ang nagugutom. #BigasHindiBala
9,dessajoyce14,Bigas ang hinihingi  bala  ang binigay~ #RobinPadillaIsaKangBayani  #BigasHindiBala
10,alyannajames,#BIGASHINDIBALA ALLCAPSPARAINTENSE @govph
11,MicaAlmiraSimon,@MicaAlmiraSimon #BigasHindiBala (c) @TheRainBro
12,chuchayieloves_,One of the saddest story on earth: Farmers  beg for rice<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>. #BigasHindiBala
13,baltarejos,The person who sits in Malacanang is a Haciendero. What's it to him if people starve? Tsk #BigasHindiBala
14,gomezcharlie,HA! Gotcha! #BigasHindiBala #Philippines https://t.co/85nQAvhXh0
15,TakeoneBuyone,"@AlonaCagadas nagmukhang tanga lng ang bayarang supporter
#BigasHindiBala 
#PHVoteDuterte"
16,TakeoneBuyone,"@EscobalJessie MERON POE. GUMAGALANG POE AQ SA MGA #PUTANGINA NA MGA YAN POE @MARoxas @noynoyaquino @emmyloumendoza 
#BigasHindiBala"
17,baltarejos,Philippines is the only agricultural country I know where farmers ask for rice. #BigasHindiBala
18,inajmae,"""@meuti20 People are so blinded with the extra things they indulge in but forgetting the one thing they can't live without. #BigasHindiBala"""
19,trishamacas,Beauty queen joins #BigasHindiBala movement https://t.co/Cv4SppOlwd #Lifestyle
20,aiisofspades,#BigasHindiBala #artintheparkph https://t.co/GLcrDq9nAs
21,fatvillanueva,This. #BigasHindiBala https://t.co/ej3Xf8Tcgi
22,PatamaPost,Pagsaing ng bigas gamit ang dumanak na dugo. #BigasHindiBala
23,Candycoatedjam,#BigasHindiBala #JusticeforKidapawan https://t.co/khPtCSq0gL
24,Antmanchronicle,I support the farmers of #kidapawan. No amount of agitation would justify the use of guns against them. #BigasHindiBala #MaximumTolerance
25,fatvillanueva,"In layman's term, tsismis lang. Jusme. #BigasHindiBala https://t.co/tFebQWTCTy"
26,michellemmanese,"They ""solved"" hunger with hunger for bloodshed. #BigasHindiBala"
27,elijahgeline,Pagkain po yung kailangan po nila hindi po bala ! #BigasHindiBala
28,TakeoneBuyone,"@EscobalJessie WITH ALL DUE RESPECT #PUTANGINA NYO POE TALAGA POE @MARoxas @noynoyaquino @emmyloumendoza SAGAD POE
#BigasHindiBala"
29,AllTimeElisaa,#BigasHindiBala https://t.co/vuFRnYb9d5
30,TakeoneBuyone,"GIVE WAY TO THE KING!

#KINGINA
@MARoxas @emmyloumendoza @noynoyaquino 

#BigasHindiBala https://t.co/7o2XxISTUt"
31,nicozapanta,Libreng subsidyong bigas para sa magsasaka sa Kidapawan. #BigasHindiBala #Katarungan… https://t.co/anPZjSyWd5
32,EscobalJessie,"Cge sir Banat!

#PHVoteDuterte 
#BigasHindiBala https://t.co/q0A0xqq5Vk"
33,neilvictorious,One of the most ironic and saddest reality I've encountered: FARMERS BEG FOR RICE. #BigasHindiBala #ItsMoreFunNoMoreinthePhilippines
34,margsivan,#BigasHindiBala https://t.co/KoVcj47PSa
35,carlramota,Sinong nagsabing tanging mga edukado't nag-aastang intelektwal ang marunong mag-isip at kumilos? #BigasHindiBala
36,michellenhatly,"The news these past weeks is so heartbreaking and what's worse is social apathy and indifference, when will it end? #BigasHindiBala"
37,YanaMcLess,"Lord, why is this happening in the Philippines. #BigasHindiBala"
38,overaloading,Pagsaing ng bigas gamit ang dumanak na dugo. #BigasHindiBala
39,elijahgeline,Anong laban ng mga inosenteng magsasaka ? <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0094> #BigasHindiBala
40,pauzpgan,DONATE TAYO GUYS!! #BigasHindiBala  https://t.co/wqppyXzdnf
41,RedOperario,"They are hungry farmers. They asked for rice, you gave them bullets. Where is justice in that? #BigasHindiBala"
42,UPLBCDCSC,"Donations may be in the form of medicines, food, water, rice, etc. #BigasHindiBala https://t.co/6nfbb56YdW"
43,ArrezaKirk,#BigasHindiBala@arrezakirk GIVE MORE TO THE NEEDY AND BE A BLESSING TO OTHER PEOPLE
44,TakeoneBuyone,"BIGYAN NYO AQ KAHIT 5MINS LNG. MURAHIN Q LNG C @MARoxas @noynoyaquino @emmyloumendoza SAMA Q DIN C ABAYA ABAD DRILLON 
##BigasHindiBala"
45,GEreps,#BigasHindiBala  https://t.co/Z9hEj9WafD
46,UPLBCDCSC,Official Statement of CDCSC on the recent killings of farmers during a protest in Kidapawan City. #BigasHindiBala https://t.co/2HQ1EnmdEs
47,itsmesmylle,"Again, any news on how we can extend help to these farmers? groups, organizations? #BigasHindiBala https://t.co/JKIi4VSNNA"
48,IceBryn,"Bigas ang hiningi, bala ang binigay. Where did the humanity go? <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #BigasHindiBala"
49,psychologiee,hindi pa ba 'to sapat para magising ang mapangsamantala ninyong mga utak #BigasHindiBala https://t.co/6FmGO6830v
50,siparotako,Why will the gov of N.Cotabato organize &amp; fund her own rally instead of releasing the rice and funds asked by the farmers? #BigasHindiBala
51,janahho,"Standing together with our brothers from Kidapawan. #BigasHindiBala <ed><U+00A0><U+00BD><ed><U+00B2><U+0094> @ Rizal Boulevard,… https://t.co/RnJkRxLbOm"
52,EuleCayetano,"@PNPhotline anyway, only fools wud believe in your work of fiction backed by planted evidences #BigasHindiBala @DZMMTeleRadyo @ZandroDZMM"
53,Daiyawwn,#BigasHindiBala
54,minoceto,"#BigasHindiBala

Red tagging will not address the issue of the violent dispersal of farmers asking for the... https://t.co/KAOjBTgc7i"
55,callmejohnd,#BigasHindiBala #BugasDiliBala https://t.co/LQEQSCBDvX
56,YsheeeeNicole,#BigasHindiBala <U+274C>
57,jm0nge,The Thinking Pinoy: #BigasHindiBala: Mar Roxas' own Speechwriter admits Gov't Incompetence - https://t.co/Oyd4h9lvXk via @Shareaholic
58,T_oo_A,The Thinking Pinoy: #BigasHindiBala: Mar Roxas' own Speechwriter admits Gov't Incompetence - https://t.co/gd2uqnNcAo via @Shareaholic
59,geminicey,North Cotabato GOV. LALA MENDOZA Pakibasa po: #BigasHindiBala https://t.co/tUYZmMvMCR
60,intesharpansar,<ed><U+00A0><U+00BD><ed><U+00B9><U+0081><ed><U+00A0><U+00BD><ed><U+00B9><U+0081><ed><U+00A0><U+00BD><ed><U+00B9><U+0081> #BigasHindiBala https://t.co/Q4QutyzxoB
61,jemrobles,#BigasHindiBala https://t.co/nzOivmgnIq
62,followyouroad,The Thinking Pinoy: #BigasHindiBala: Mar Roxas' own Speechwriter admits Gov't Incompetence - https://t.co/OqFVo6itPK via @Shareaholic
63,Punyetabecia,"Nakakalungkot kumain ng kanin :(

Tanginang mga berdugo 'yan!

#BigasHindiBala"
64,NombresEnn,Such an insensitive administration. #BigasHindiBala
65,TakeoneBuyone,"@Mizyana3 @Ideal_Views UBOS N KZ UN PONDO. WALA N CLANG IRELEASE
PWEDE BNG MURAHIN @emmyloumendoza @MARoxas @noynoyaquino ?
#BigasHindiBala"
66,Pan16Bit,sana yung pagsuporta ng mga tao sa #BigasHindiBala tulad din sa pakikilahok nila sa Suntukan sa Ace Hardware
67,pol_trollgeist,"Tangnang gobyerno to! 
 
Mamamatay na nga sa gutom.....Binaril pa! #BigasHindiBala"
68,iamthetrueamor,"@emmyloumendoza gov. Anong drugs tinira mo?

#BigasHindiBala"
69,carlo_oblea,#BigasHindiBala https://t.co/DuDXuedyfu
70,magpiespress,"Wala kang friends? Willing naman kaming maging friends mo, kaso baka mainsulto ka. Pasugod nalang namin PNP dyan. #BigasHindiBala"
71,aunniecastel,BAT DI PAGBIGYAN? BIGAS LANG YAN DI YAN 1 BILLION! #BigasHindiBala
72,magpiespress,"Writer's block? Tulungan ka sana namin mag-writing prompt, kaso baka mainsulto ka. Pasugod nalang namin PNP dyan. #BigasHindiBala"
73,jeanettetaneca,"Finally, somebody said it. #BigasHindiBala https://t.co/og5NWxR90s"
74,jysdimaandal,"#BigasHindiBala 
#BigasHindiPropaganda 

Sa Pilipinas lang meroong magsasaka na mahihirap. Hays.<ed><U+00A0><U+00BD><ed><U+00B8><U+00A0>"
75,inaymarcela,"#TulaPapel
#PapelSaKidapawan
#BigasHindiBala

Hindi bala
ni Handry

bigas, hindi bala
bigas para sa'tin
hindi... https://t.co/czR6JORvde"
76,ianjabon,Please lang po #BigasHindiBala <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD>
77,siparotako,"PANAGUTING ANG BERDUGONG REHIMENG AQUINO! 
#BigasHindiBala
please share https://t.co/aBFqOt9e6U"
78,maotsiace,Only in the Philippines where farmers ask for rice. #BigasHindiBala #sadbuttrue @rapplerdotcom
79,venzie,"Among those detained in Kidapawan: 

44 men
35 women (3 pregnant, 4 minors)

#BigasHindiBala"
80,con_ssidrama,Tungkulin nyo pa din ang teritoryo nyo. Pilipino pa din yan. 3 months silang naghintay para dito?! Nagbingibingihan kayo?! #BigasHindiBala
81,elijahgeline,Justice please! #BigasHindiBala
82,JGraceO,How ironic it is that our farmers begged for rice. And they were replied with violence. Depressing. #BigasHindiBala
83,iichanpaul,"Please help us, trend this hashtag #BigasHindiBala for the Filipino farmers. #KMJS11"
84,ilda_talk,The Bloody Reign Of The Aquino Aristocracy Needs To End Now! https://t.co/UZg24zxVAS #Kidapawan #BigashindiBala
85,iChawLey,Nora Aunor for Kidapawan farmers by Sebastian Castro #BigasHindiBala! https://t.co/CZugRXtOKl
86,margsivan,"silang naghirap na mag ani ng ating bigas, ng ating makakain sa araw araw.
#BigasHindiBala"
87,_hanginghabagat,"Kapag itinutok ng pulis ang baril sa sentido mo, sino ang kriminal sa inyo? Kung may tsapa ang kriminal, kanino sasaklolo? #BigasHindiBala"
88,margaretpaguia,#BigasHindiBala
89,marviraymundo,This rings very true.  #BigasHindiBala  https://t.co/2mlbc2ApAn
90,thirdbiong,Welcome to the Philippines where u can get rewarded by killing farmers and be punished if u helped them. #BigasHindiBala
91,con_ssidrama,May rason sila na dahil daw baka inutusan lang ng mga NPA ang mga magsasaka para kumuha ng suplay ng bigas. #BigasHindiBala
92,butterscorch16,I REALLY WANT TO RAAANT BUT I MAY LOSE MY BREAD AND BUTTER FOR DOING SUCH. #BigasHindiBala
93,dtdtfiller,Stop pointing fingers and start helping people! Our justice system is so fucked up! #BigasHindiBala
94,con_ssidrama,Wow ha. Eh kung ginawa nyo na dati pa yan. Hindi sana nagkagulo pa at may nasaktan. #BigasHindiBala  https://t.co/LOT6g5akps
95,venizangeles,"What's happening to the Philippines, seriously. :( #BigasHindiBala https://t.co/SsU5NvKjxT"
96,HelloImDaniiel,That governor is a piece of crap. Bat mo haharangin yung mga donasyon para sa mga kababayan mo? Anong klaseng utak meron ka? #BigasHindiBala
97,jaodelacruz,"#BigasHindiBala @ Salcedo Park, Salcedo Village, Makati https://t.co/Kca1XkLbJi"
98,elvhrndz,"Whether you buy liquor or cigarette products, the owners would still be multimillionaires. In contrary with our farmers. #BigasHindiBala"
99,maehinhin,#BigasHindiBala <U+270A> https://t.co/FfEtG8aQH1
100,Misterhubs,"#bigashindibala #artinthepark @ Salcedo Park, Salcedo Village, Makati https://t.co/Xq0498kOKh"
101,Invokerrrrrr,#BigasHindiBala
102,elijahgeline,shut up and give justice :3 #BigasHindiBala
103,princessjadev,"I'm not losing faith in this country, justice can be serve #BigasHindiBala"
104,LetsDioNa,#BigasHindiBala https://t.co/0Krmgm2ruF
105,XNRNKS,#BigasHindiBala  https://t.co/EuC9n7s07n
106,elijahgeline,Bigas hindi bala ! #BigasHindiBala
107,PolCarolino,Ngayon tayo kailangan ng social media hindi noong weeksary ng mga paborito niyong programa #BigasHindiBala
108,EmMijares,Pasikatin si Gov. Lala at ang mga kahayupan niya! #BigasHindiBala https://t.co/7V42tiFvTw
109,ItsMeJhnPAUL,"Sad truth, is that we have a Corrupt Government! 
#BigasHindiBala"
110,TheArtidope,Hey guys! To show support we would like to invite you to change your profile pictures into #BigasHindiBala https://t.co/d9xBpFmOSn
111,elijahgeline,If you ate today thank a farmer #BigasHindiBala <ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008A>
112,REAP_Mindanao,God is not silent #BigasHindiBala https://t.co/wQE8qhMqHC
113,frncsenriquez,"@natoreyes Disperada na tlaga Gov Mendoza nag udyuk pa mag rally, Ala nag hahanap nalang ng kakampi at ibabaling s iba sisi
#BigasHindiBala"
114,ellacolmenares,#BigasHindiBala https://t.co/o2nOFvIbc7
115,VicenteToca3,"ang tunay na artista ng bayan ay walang take 1,2 3-agad na nakikibahagi ,tumutugon sa laban ng mayorya ng mamamayan.#BigashindiBala"
116,TakeoneBuyone,"SANA DUMAMI P ANG LAHI NYO!!!
@emmyloumendoza @MARoxas @noynoyaquino 
#BigasHindiBala 
 https://t.co/ziRuSJ2J61"
117,renzorexxx,"It's just depressing how can these idiots do such terrible thing. Without our farmers, y'all be eating shit.
#BigasHindiBala"
118,marc_abila,There are 543 barangays in North Cotabato province. So the LGU can release roughly <U+20B1>27M for this rally? #BigasHindiBala
119,macypawn,"Fvck this, so who sent those policemen with high-powered guns in Kidapawan????? #BigasHindiBala"
120,jetnebris,"#UpholdFarmersRights #BigasHindiBala
#ParasaMagsasaka #ParasaBayan  https://t.co/iWnQpbFqaI"
121,frannyye,#BigasHindiBala @ Art in the Park in Makati City. https://t.co/GLJOfL0Scc
122,xxmariaaaaa,#BigasHindiBala https://t.co/hnrQhjCRgF
123,jysdimaandal,"Sana bigyan ng attensyon ng Gobyerno ang nangyayari sa bayan ng kidapawan. 
#BigasHindiBala"
124,alyssajeanc,binalita na ba sa mainstream media yung nangyari sa kidapawan? di na ko nanonood eh. may mga kinikilingan. #BigasHindiBala
125,ArPM83,#BigasHindiBala
126,pikafiii,You know what's sad? Farmers asking for rice. #BigasHindiBala
127,YownisGel,Even the artists seeking for justice for the victims of Kidapawan Massacre #BigasHindiBala… https://t.co/SBllOvX735
128,CarlVincentSays,#BigasHindiBala
129,falloutjazer_,#BigasHindiBala  https://t.co/i97zaLbvbn
130,marc_abila,Hindi ko kinakaya! Ang lala ng tama sa utak ni Gov. Lala! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC> #BigasHindiBala
131,czarinalexis,"How ironic it is that the one's asking for rice, are also the one who produced it.

smh PH #BigasHindiBala <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>"
132,iichanpaul,"@AldubRockers AldubNation, nais lang po namin na humingi ng tulong, please tweet #BigasHindiBala. For our farmers of kidapawan."
133,JekoAguado,"Sa mga Lasalyanong willing tumulong, uulitin ko: PM niyo ako :)

#BigasHindiBala"
134,marc_abila,"For the rally in support of the governor, North Cot LGU will spend <U+20B1>50k each barangay for every 30 people. #BigasHindiBala"
135,McDanigan,Bakit wala akong kahit anong nakikitang pahayag ng kampo Aquino sa nangyayari ngayon sa Kidapawan? #BigasHindiBala
136,YOUNGVIDAL_1738,#BigasHindiBala
137,TalkativeAko,"For those who wish to help our farmers until the El Niño calamity is over, you can donate here

#BigasHindiBala https://t.co/0EzFcnScOd"
138,tummiboy,#BigasHindiBala https://t.co/tTDPwWMj4Y
139,iichanpaul,"This is not a fake issue, know their stories. #BigasHindiBala"
140,MathManMaster,Kung puwede lang 'to iretweet ng iretweet ginawa ko na. #BigasHindiBala   https://t.co/5bdKYNif3m
141,arbylita,#BigasHindiBala  https://t.co/atqheZ0OFd
142,aaaaallexsandra,#BigasHindiBala https://t.co/4DVrQC37EV
143,jemrobles,#BigasHindiBala https://t.co/E4ADsinloZ
144,UP_ESC,"Read UP ESC's statement here: https://t.co/UWWWRlFgq1

#BigasHindiBala https://t.co/t7ol2PWjoo"
145,GuevarraVlad,For the families of the Kidapawan farmers killed by the local police and military #BigasHindiBala #RiceNotBullets
146,nicarodriguezz,@_mayagonzales @erkgrnd mga ingrata sila walang utang na loob #BigasHindiBala
147,chieantiquina08,"So sad. Justice for <U+2B07>
#BigasHindiBala  https://t.co/cjr7iUpO8N"
148,avesapirena,"Isang JOKE tlaga ang mga Pulis sa gnawa nila sa mga magsasaka sa Kidapawan!pag makibakbakan sa mga rebelde,TANGA,INUTIL sla! #BigasHindiBala"
149,marc_abila,May pera para magbayad ng mga tao sa rally nya pero walang maibigay sa mga gutom na magsasaka. Much wow. Such leadership. #BigasHindiBala
150,Kryzette_Styles,The people responsible for the food in our tables need their share. #BigasHindiBala
151,Owshiin,Family goal. #BigasHindiBala https://t.co/Vx9SfQ5NYj
152,MetroManela,and this tragedy is being used politically. remember these men who promise to be great when they can't even be good #BigasHindiBala
153,RazielFloooo,#BigasHindiBala  https://t.co/yKjRrLSujz
154,SelmoDMan,I hope in the last month of Aquino Administration nothing bad happens... Crap #KidapawanShooting already happened #BigasHindiBala
155,_mtnmorta,"#BigasHindiBala
Gov. Mendoza plans a self-initiated rally and ready to pay 50k to 30 men of all brgys who will participate tom. April 4."
156,gofIoatyourseIf,And the fact that the administration gets away with such inhumane treatment is extremely sick. This is impunity at its best. #BigasHindiBala
157,gerbierandquill,"1/2 While some are busy making fake events on FB, some mourn the victims of the rain of bullets to protesters in Kidapawan. #BigasHindiBala"
158,jayeel_cornelio,"Agree w @clevearguelles. If middle class protest, civil society at work. If rural poor, insurgency. Respect farmers' agency. #BigasHindiBala"
159,MetroManela,convenient to make the bureaucracy an excuse these times but had it been followed in the first place this won't happen #BigasHindiBala
160,aeLmo_,"Not fond of posting this kind of meme. Sharing this all the same.

#CultureNotPolitics
#DavaoGuys
#BigasHindiBala https://t.co/wDpfz4f02F"
161,JoStokedo_O,DAMN STRAIGHT! #BigasHindiBala https://t.co/BWVeKSDBU3
162,OneCheGuevarra,The Kidapawan incident – questions that start with the word ‘why’ #BigasHindiBala https://t.co/NjGtxP5GSs
163,GetRealPHIL,The Kidapawan incident – questions that start with the word ‘why’ #BigasHindiBala https://t.co/uAiQMdfsze
164,yannaaa_tan,"To those who would like to help, please message me!! <ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096> #BigasHindiBala  https://t.co/4TE7PuolgY"
165,SoteloAlmira,@johncac_ #BigasHindiBala
166,Carlalalalva,"Sarili mong kahabuhayan, ikaw pa ang nawalan. #BigasHindiBala Hustisya naman please"
167,smnthjnne,"HIndi ko akalain na hahantong sa ganitong sitwasyon, na kung sino pa ang nagbibigay sila pa ang ginigipit. #BigasHindiBala"
168,AllTimeElisaa,#BigasHindiBala https://t.co/CkixRChqFw
169,SabanalBrian,"mangayo ka'g bugas, hatagan kag bala. ganahan ka? #BigasHindiBala"
170,PinoyOnBoard,#BigasHindiBala https://t.co/ave1m5iUPP
171,benign0,The Kidapawan incident – questions that start with the word ‘why’ #BigasHindiBala https://t.co/JrGRazWE4F
172,kaivynsky,@kaivynsky if only i could hug all the farmers involved &amp; grant them peace of mind... #BigasHindiBala
173,Landotron123,@gmanewsbreaking @saleema_refran hiyang hiya nmn ako sa kapal ng muka netong SILG Sarmiento na to #BigasHindiBala
174,dothedewMHARdew,#BigasHindiBala https://t.co/XOHnrHlpfK
175,annlinhalcid,#BigasHindiBala
176,gofIoatyourseIf,I live in a country where unarmed farmers are being killed bc the government can't deal with the 'hassle' of helping them. #BigasHindiBala
177,maxserafica,Boto nyo pa si Mar. Tahimik ah. #BigasHindiBala
178,cheepeegum,#BigasHindiBala
179,wastedtulips,"#BigasHindiBala

worth spreading."
180,ImInThisBitch1,The superstar Nora has spoken. Let justice come swiftly. #BigasHindiBala
181,BabyNLita,@gmanewsbreaking @_jamesJA  #BigasHindiBala
182,janeeyneyy,: FARMERS ARE ASKING FOR RICE #BigasHindiBala  https://t.co/huGurVvskv
183,smnthjnne,Iba na talaga Pilipinas ngayon. Magsasaka na ang namamalimos sa bigas. Tangina lang #BigasHindiBala #bigashindipropaganda
184,lalacagay25,"@johncac_ tama po kuya.. Sna maawa naman sila sa ating mga dakilang magsasaka.. 

#BigasHindiBala https://t.co/qAG260qn4D"
185,pagodaversoza,Hindi mo na kailangan magbayad ng pagkamahal-mahal para sa Les Mis kung live-action namang nangyayari na sa bansa natin. #BigasHindiBala
186,BabyNLita,@_jamesJA @gmanewsbreaking @dzbb #BigasHindiBala
