1,sel_pia,"""First, life teaches us that, whether we perceive it as predestined or as random, it is beyond any person’s control."" #MiriamUtakAtPuso"
2,njregio,"""Malay mo matagal na pala syang sumuko, ikaw nalang yung hinihintay nya bumitaw. Hindi ako yan at lalong di si MDS yan."" #MiriamUtakAtPuso"
3,njregio,"""Walang lovelife? Sanayan lang yan! Walang matinong presidente? Ay ibang usapan na yan. MDS na tayo diyan."" #MiriamUtakAtPuso #MIRIAM2016"
4,iamkirvs,Miriam is worth supporting for! #MiriamUtakAtPuso
5,nixonapun,"Youth be inspired by @senmiriam in character,intelligence,hardwork &amp; love for country;not to be like Mr.Pop candidate. #MiriamUtakatPuso"
6,kayMDSANTIAGOKO,#MiriamUtakAtPuso https://t.co/zEWfFvvzXT
7,ivncdrck,Walang pagkakautangan at babawiing gastos #MiriamUtakAtPuso #MIRIAM2016 https://t.co/HSlaQYs5Tf
8,njregio,"""Things change. People leave and die. But life doesn’t stop for anybody. MDS can change things that no one else tried."" #MiriamUtakAtPuso"
9,jeekz25,"Hello! Sa page ng MDS for president sa FB, they're looking for volunteers na editors, audio experts etc.  #MiriamUtakAtPuso"
10,iamkirvs,#MiriamUtakAtPuso https://t.co/RHa5zNRzTu
11,angelaye18,"#MiriamUtakAtPuso its gonna happen, switch to Miriam now!  https://t.co/u236YsDRaW"
12,JanBrixx,#AngatTayoKayMiriam #SiMiriamAngSagot #MIRIAM2016 #MiriamUtakAtPuso  https://t.co/ZuiTtU0Rzn
13,njregio,"""Hurting someone w/ the truth is always better than making them happy with a lie"" MDS is always true so we won't be hurt"" #MiriamUtakAtPuso"
14,klinetimia,#MiriamUtakAtPuso https://t.co/fciIn0IcXm
15,ronielrubin,#SiMiriamAngSagot #MIRIAM2016 #BakitSiMiriam  #MiriamUtakAtPuso
16,iamkirvs,Ang presidente ko gumagamit ng #MiriamUtakAtPuso
17,M_S_SUMILANG,Kami ang magwawagi sa may9 #MiriamUtakAtPuso #SiMiriamAngSagot #MIRIAM2016
18,dmncfrnndz,"Close encounter with @senmiriam, UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Maswerte ako at nakamayan ko ang pangulo! :) #MiriamUtakAtPuso #MIRIAM2016 https://t.co/YgIXKjV1OD"
19,KryzelleFaye,"Thrice nang tumakbo si MDS, pero 'di sumuko. Hindi nya pa sinusukuan ang Pinas, pero bakit sumuko na agad tayo sa kanya? #MiriamUtakAtPuso"
20,iamkirvs,#MiriamUtakAtPuso https://t.co/IjQG85OHpI
21,phoebustaiyo,"#MiriamUtakAtPuso Kaya tayo ganito, hindi nila pinipili ang matalino. Pinipili nila ang tuso. :("
22,aceomakDT21,"#MiriamUtakAtPuso As for all the jerks in the government who are my enemies, I repeat..They are the reason why God created the middle finger"
23,fUjikO_sutiL,"Vote Wisely
#MIRIAM2016  #MiriamUtakAtPuso"
24,wiyathetiger,#MiriamUtakAtPuso #SiMiriamAngSagot #Miriam2016 #MiriamTuloyAngLaban https://t.co/2lD9bRgDfG
25,njregio,"""Eh kamusta naman yung ipinalit mo kay MDS? Matalino ba. Responsible ba. Karapat-dapat ba? Baka shunga yan, magtigil ka."" #MiriamUtakAtPuso"
26,ILdelacruz,#MDS2016 #MiriamUtakAtPuso #MiriamPaRin
27,sel_pia,"""Practice self-leadership and be excellent."" #MiriamUtakAtPuso"
28,weng_fei_hong,DELETED PRIDE DETERGENT POLITICAL TV COMMERCIAL #MiriamUtakAtPuso #MIRIAM2016  https://t.co/OxPgfeiXiT
29,sel_pia,"""Mahatma Gandhi simply was the change he wished to see and soon others took notice and began following him."" #MiriamUtakAtPuso"
30,erensaturnino,Alamin nyo nga kung ano ang trabaho ng senador? #MiriamUtakAtPuso https://t.co/mJp7UxPlS2
