1,BridalPrints,Ang tindi ng sagot ni Leni sa #PilipinasDebates! Yan ang VP! #leniismyvp #leniforvp
2,healthtrendsph,"#pilipinasdebates
#forvicepresidential
cayetano and marcos highlights
taguig vs ilocos

move on...cayetano!dont... https://t.co/oE0Apt4Opj"
3,BridalPrints,Ang tindi ng sagot ni Leni sa #PilipinasDebates! Yan ang VP! #leniismyvp #leniforvp
4,BridalPrints,Ang tindi ng sagot ni Leni sa #PilipinasDebates! Yan ang VP! #leniismyvp #leniforvp
5,iam_PAUVINCE,"the issues of: Mass Transportation, Taxes, Healthcare, Education, &amp; Corruption in this country. <ed><U+00A0><U+00BD><ed><U+00B0><U+00AF> #PiliPinasDebates https://t.co/JKzCbYwF44"
6,lifesoshorty,"For those whose watching the news just now, months ago Cayetano is licking Mar's ass to be the VP but was rejected. #PiliPinasDebates"
7,IAmMartinDee,"Our country's judicial system is like this: ""It's who you know, not what the law says."" Sadly, I know.#PilipinasDebates"
8,benjdiwa,"Nakakairita magsalita si Chiz!

#PiliPinasDebates
#VicePresidentialDebate"
9,ifmmanila,"Kamusta ang pambato mo para sa vice president sa #PilipinasDebates kahapon? O may bago ka ng natitipuang iboto, Bestfriend?"
10,judamatt,#pilipinasdebates
11,GMATrendZone,"Hindi n'yo ba napanood ang Vice Presidential Debate? May replay ito bukas, 1-3 PM sa @gmanewstv ! #PiliPinasDebates"
12,OmanOsam,Be wise in voting this coming election #PiliPinasDebates
13,dindi_tan,"Such ""grace under pressure"" and wisdom displayed by Leni will TEMPER an impending Duterte presidency.
 #CNNPhilipines  #PilipinasDebates"
14,dindi_tan,"And the ROSE AMONG THE THORNS ended so powerfully: ""May the best woman win."" May the force be with her. #PilipinasDebates"
15,dindi_tan,"NOT EVEN FIRE CAN MELT A WOMAN OF THAT STRENGTH AND FORTITUDE.  
Not even a Marcos. Period.
#CNNPhilippines  #PilipinasDebates"
