1,iamjohnkeronz,Ayoko nang may 3rd Debate. Sabi nila yung kabila BOYCOTT ee. Kampihan pala daw nila si Mar. Yeta :3 #NoToDebate #PiliPinasDebates
2,johncarlosdomi3,@trish_roque thats a wrap final broadcast abs-cbn in pangasinan for the final round of #PiliPinasDebates
3,johncarlosdomi3,@trish_roque #FarewellANTM nyle d marco watches #PiliPinasDebates 2nd round coverage
4,johncarlosdomi3,@trish_roque excited na ang #PiliPinasDebates sa radyo patricia
5,nevaamind,Nagkaka pikunan na po <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> hahahha #PilipinasDebates  https://t.co/POTgwNwI7o
6,bornokyo,I will not watch the comedy show called #PIliPinasDebates.
7,johncarlosdomi3,@carlalimnews5 what happened to this live broadcast of the #PiliPinasDebates
8,wanderingleon,Back in 1992. #PiliPinasDebates #throwbackthursday https://t.co/QLaLA5PHqF
9,eloisalparito,Di ko kasabot kung malipay ko nga sabay sabay ko gina yawyawan sa akong lola mama ug papa <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> mura sila nag #PiliPinasDebates <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
10,IBlvInGoodNess,When will be the next #PILIPinasDebates?  And whar channel?
11,johncarlosdomi3,@carlalimnews5 no actual sign language hearing impaired deaf interpreters are harmed in the making of #PiliPinasDebates
12,kierhes,"Atlast, natapos ko nading panoorin ang Round 2 ng #PiliPinasDebates and I like Grace Poe na. #Poe2016 Make America Great Again. Charot!"
13,lalarimando,"Here’s an informed and intelligent perspective on the recent “entertaining” presidential debate.  #PilipinasDebates

https://t.co/4enneCkozM"
14,daphnieduran,"owned debate, schooled presidentiables &gt;&gt; 4 Reasons Why #LuchiCruzValdez Should Run for President #PiliPinasDebates https://t.co/cz2YvQhcuZ"
15,jomartzacarias,"Dameng-tawa sa behind the scenes before the Pilipinas Debate. Panalo talaga si Mayor Duterte. 

#PilipinasDebates"
16,pillowtalkgzn,#PilipinasDebates replay nw
17,amsvoo,"#PiliPinasDebates - Candidates are articulate,good researchers of facts and other's mistakes. But the winner is the one who has #blockvotes."
18,amsvoo,"Just watched #PiliPinasDebates Weird ni Binay, as a lawyer he should know where to check as far as rules are concerned.
#uninformedpresident"
19,its_yhayieeh,Now watching #PilipinasDebates #Replay Ganda ganda!
20,reymundoph,Round 2 of #PilipinasDebates #Eleksyon2016 is a shame. A mockery of what was suppose to be a brain storming event... https://t.co/ZtBBvmpWQ2
21,rzzzzzy,NW: #PiliPinasDebates -ang saya! Hahaha.  <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
22,hellokittyRine,Bibo gyud diay ang #PilipinasDebates sa Cebu <ed><U+00A0><U+00BD><ed><U+00B8><U+008C>
23,awesomexneth,Ang gulo nyo! Wala akong maintindihan! #PilipinasDebates
24,FlorTugas,"#pilipinasdebates
#upcebu
#tanongngmgaajourno
Angsaya
D q lng naumpisahan
Hahaha"
25,bancatubay,Late but this #PilipinasDebates reminds me so much of UP's Mudslinging Miting de Avance. Gondo
26,zeahaeyo,"Watching #PiliPinasDebates on tv for the 2nd time. 
Duterte still savage af."
27,sab_bernal,"Walkout pa more 
#NotoBinay
#pilipinasdebates 2016 https://t.co/hw7nmmJ8f2 https://t.co/IjKmbIx12G"
28,sab_bernal,"Oo nga!!
#NotoBinay
#pilipinasdebates 2016https://twitter.com/scarlettruby25/status/711887708558270468 https://t.co/Xk7HwcassV"
29,sab_bernal,"Idol ni Binay si Goebbels
#NotoBinay
#pilipinasdebates 2016
https://t.co/rsforTm4cj https://t.co/e621RsYa3e"
30,bancatubay,#PilipinasDebates replay on TV5. Right now
31,luzano_mark,Round 2 ng Debate! Game :) kahit di la botante hahahaha! #PilipinasDebates
32,rhenfdp,"yan ang tunay na news.. nagcredit to owner
@gmanews @TV5manila 
#PilipinasDebates https://t.co/kpBnjUAC9t"
33,barrioj1,Haha #pilipinasDebates nga nmn https://t.co/BsJIzW59Zq
34,JustineTime023,omg nasestress talaga ako for Luchi Cruz Valdez haha! Di pa rin ako makagetover from yesterday #Replay #PiliPinasDebates
35,TheFreemanNews,"Following Sunday's Visayas leg of #PiliPinasDebates, Rody Duterte visits Carcar City in Cebu | #cebuvote2016 https://t.co/xzLj4sLkEx"
36,cristinaecla,watching the replay of #PilipinasDebates
37,vhiafetalcorin,Closing Statement. #PiliPinasDebates
38,PHINews1,"Duterte to Roxas: Mar, you are a pretentious leader #PHVote #PiliPinasDebates https://t.co/lJdlSbyhjQ"
39,vhiafetalcorin,Galing ni Poe. #PiliPinasDebates
40,wanderingleon,Back in 1992. #PiliPinasDebates #throwback https://t.co/QLaLA5PHqF
41,i8fallingstars,#PilipinasDebates https://t.co/p12KV74Mtv
42,ambrose7107,"#PHVote #PiliPinasDebates buti ung Tatlo, naSpecify ung paglaban sa kurapsyon, si Binay? O di lang masyado?"
43,tomahawkmissile,Niratrat ang mga rebeldeng Muslim habang tangan tangan ang mga hostage! #nervousBreakdown #ZamboangaSiege #humanShield #pilipinasdebates
44,Superjaica,#PiliPinasDebates replay <ed><U+00A0><U+00BD><ed><U+00B3><U+00BA>
45,tak_en1207,<ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> turning 72 na pala si #presduterte?! nkkloka!!! looking bagets ang ating next president!<ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+008E> #du30 #PiliPinasDebates https://t.co/uHQJctV2nH
46,kimmysandra24,Mayor Rodrigo Deterte for the win! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>#PilipinasDebates
47,itsbiancamillef,Atm... Laughtrip ako kay Rodrigo at Mar! G na G sa isa't isa! #Replay #PilipinasDebates https://t.co/lynF3Jlb2b
48,annlessss,"Kawawang Mar!
Watching #PilipinasDebates Replay!
You are a pretentious leader!
#Duterte2016"
49,leyoward,"Pangako pa more ROXAS! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#PilipinasDebates"
50,annlessss,"#PiliPinasDebates Replay on @GMA_PA !
Watchhhh!"
51,joyceinheels,"To those who'd like to watch the 2nd #PiliPinasDebates again: https://t.co/J5K7pIp1UF
#SolusyonNiMar"
52,hazelann2908,"Just wondering... kamusta na kaya yung interpreter ng debate kahapon? Haha. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#PiliPinasDebates #BilangPilipino #News5Philippines"
53,jamesnats,Excited for the #PiliPinasDebates Vice Presidential Edition! #LeniforVP #LeniismyVP
54,TheFreemanNews,"""Noong nasa stage na ako doon ko na lang nalaman na bawal magdala ng dokumento."" - Binay on #PiliPinasDebates yest https://t.co/RxvMybNepl"
55,MarkLynde,"HAHAHAHA BUANG JUD NING MGA TAO KARUN <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>

Musical.y Pa More HAHAHAH <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>

#PilipinasDebates
#SecondRound https://t.co/YbvDpsyDMO"
56,nurzghel,"My husband said,"" Ginaha,ki Duterte k baya mgboto...""am getting each and every point!
#TAMASIDUTERTE
#PiliPinasDebates"
57,iamrealjoven,"#Halalan2016 #Pilipinasdebates
 Who is ur bet to preside our country? 
Share your thoughts https://t.co/WyJuODlFTt"
58,mvryvntoinette,One time for Luchi for keeping her shit together hahahaha #pilipinasdebates #pilipinas
59,annlessss,"For those who didn't catch The 
#PiliPinasDebates live last night you'll catch a replay tonight after PBA games.
@eyuris"
