,from_id,from_name,message,created_time,type,link,id,likes_count,comments_count,shares_count
1,10207070434497800,Rosele Evangelista,"Sa nabasa kong 'to, parang gusto ko nang grumaduate kagad at mag-imbento ng super pamatay na weapon/bomba para mapasabog ko ang baliw na gobyerno ng North Korea >:| Haaay.

",2012-04-07T18:47:46+0000,link,http://www.interaksyon.com/article/28689/pnoy-on-north-korean-rocket-launch-prepare-for-worst-hope-for-the-best,326350678368_10150695467503369,2,1,0
2,1175288709149970,Bernard Panabang,"Hi, anyone there from Abra? Active Resident of Abra?

Shoutout! Thanks>>>:)",2012-04-01T09:59:29+0000,status,NA,326350678368_10150681359133369,1,9,0
3,10206109370476800,Elron Joyce M. Josue,"(..Sa aking minamahal na probinsya..)

Ayoko ng mayabang, sa mga mayayabang.
E, nung may makausap ako kanina na mayabang.
Binibida na ganito sa kanila, may ganito sya, etc..

At nang tinanong ako kung saan ako nag-aaral.
First time kong isagot,
""Sa UP Los Banos po""
Ayan, taob si ate.

E d ako na mukhang nagyabang. T_T",2012-04-03T05:51:14+0000,status,NA,326350678368_10150685145908369,53,14,0
4,10205562814377800,Carlo Santos,"Ok mga isko at iska, mukhang tapos na ang finals week. Unleash the overheards (na hindi pick-up lines, PARANG AWA NYO NA)!!",2012-04-04T15:43:00+0000,status,NA,326350678368_10150688382598369,9,3,0
5,1264395903576640,Jazaika Marie Bienvenido,"tinanong ako ng tita ko kanina kung lahat daw ng mga nag-aaral sa UP mga all-nighter kasi un anak nya, ako at un isa ko pang pinsan umaga na gising pa...
totoo ba un?! O_o",2012-04-05T18:17:42+0000,status,NA,326350678368_10150691042648369,32,8,0
6,10201619502686700,Kevin Jason Manuel,individualism becomes a problem when people attempt to identify themselves by associating themselves with brand names.,2012-04-07T04:11:38+0000,status,NA,326350678368_10150694252833369,3,2,0
7,10207240169315700,Cielo Marie Bayson,"Sorry for cross posting- but the girls need our help. We urge ALL ORGANIZATIONS AND INDIVIDUALS to express their outrage by releasing a statement of condemnation on the rape committed by members of the Armed Forces of the Philippines on 2 minors in Mankayan, Benguet. A known mining community, soldiers have been deployed in Mankayan for a long time to ensure a so-called ""peace and order"". Military presence not only disturbs the peace, it is ruining the youth’s future.",2012-04-06T15:20:46+0000,link,http://bulatlat.com/main/2012/03/29/benguet-lass-friend-victims-of-rape-by-army-officer-fail-to-join-graduation-rites/,326350678368_10150693011173369,1,0,0
8,10201396658953800,Dandy Galfo Jr.,"sa isang canteen sa Reymundo, 

Ako: Isang order nga po ng bopis.
Ate: Take out?
Ako: Ayy, OPO ate. :D padagdag na din po ng 2 rice.

Ate: Take out?
Ako: O.o hmmmm. opo?",2012-04-06T12:23:19+0000,status,NA,326350678368_10150692697228369,18,7,0
9,1148073378538230,Eugenie Villanueva,"my gay colleagues in work are having their past time talk:
Gay 1 (Myrone) : (impersonating our supervisor) Myrone, I need you in my office. (pause) You're FIRED!!

Gay 2 (Reynan) : (impersonating Myrone) Oh my gush Sir, I'm so hot! I'm fired!!

...haha..lol :DD",2012-04-06T02:37:52+0000,status,NA,326350678368_10150691927448369,29,1,0
11,1079660275388670,Karen Ann Celzo Calauad,"Me: Ba't ambagal bagal mag-upload....?
X: Baka maraming nagamit ng Facebok ngayon?
Me: >.<

#pwede pa-tumbling kahit di ako maalam....bwahhahahahahaha!",2012-04-06T09:40:52+0000,status,NA,326350678368_10150692453633369,5,0,0
12,1026940014009330,Michelle Bayana Trillana,"Fellow peyoopsple, tanong ko lang sana if any of you have experience in HR. Need some guidance sana on regulatory requirements for OJTs. Like, gov regulations we need to follow when hiring OJTs. Would appreciate any input on this. Thanks!",2012-04-06T09:32:57+0000,status,NA,326350678368_10150692442783369,0,0,0
