1,Matt Baguinon, Sa mga nagsasabi na dapat hindi dinadawit ang pangalan ng UPLB sa mga balitang krimen sa Los Ba�os, eto ang tanong para sa inyo.Sa karamihan na nangyaring mga krimen kamakailan lang, masasabi ba talagang walang koneksyon ang UPLB dito maliban sa proksimidad?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Abs, MA class namin ngayon...Usaping MRT...Classmate 1 (Guy): Nakaapat na daan ng tren," hindi pa ako nakakasakay.Classmate 2: Dapat doon ka sa lane niyo sumakay para makasakay ka.Classmate 3 (Girl): *taps biceps* Nakikita mo itong braso ko? Pinapalaki ko ito panghawi ng mga tao sa MRT.Prof: Doon talaga ma-experience yung idiom na """"Hindi mahulugang karayom"""".Classmate 2: Meron pa... """"Yung hindi makasayad ang paa sa lupa."""" 'Di ba hindi talaga sasayad sa lupa yung paa mo roon?Prof: *laughs* Naging iba na yung meaning nung idiom...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Dara Medina, UPBMukhang uso kc ang pagsusurvey samin these days, kung kaya't kanina, nagsurvey dn ako ng akin about sa opinion ng mga tao kung ano para sa knila ang isang ideal date. Yung kung anong type ng date ang perfect para sa knila, romantic ba o casual, etc. As in either may rose petals pa or mag-7eleven nlng, mga ganun ba.So, ayun nga. Kasama kong lumalamon yung isa kong close friend na para ko ndng Kuya. At dahil nga nagsusurvey ako kuno, tnanong ko dn sya:(nonverbatim)Ako: Kuya, ano ang perfect date para sayo?Kuya (walang kagatol-gatol): Yung may kasama ako.Ako: o.OK, fine. May point ka jan. -___-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cherry Nicdao, UPB. Bago magstart ang aming Humt1 class, naririnig ko sila ate at kuya na nag-uusap sa likod.*non-verbatim*Kuya: Grabe. Wala akong tulog. Kahit 1 minute lang wala.Ate: Okay lang yan no! Sabi nga nung dormmate ko," """"Ang tulog madaling bawiin pero ang mababang grades"," HINDI!""""Need I say more? HAHAHAHA. :D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jed Albarico," A normal day with my friends. NV:Me: <singing> """"Nasayo na ang lahaaat"," minamahal kitang 'pagkat.. nasayo na ang lahaaat pati ang puso koooo"""" and that's """"Nasayo na ang lahat"""""," di naman masyadong obvious. *Laughs*Classmate: Ang gara ng mga kanta ngayon 'no? Inuulit ulit lang yung title sa kanta. Alam mo ba kung san yan nagsimula?Me: o.O saan?Classmate: sa """"Baby"""" ni justin bieber.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Rogene A. Gonzales, Comrades, allow these words to dance you a hymn, of how much we love you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Eduk UP,"Noong freshman pa ako (maraming taon na ang nakaraan) ay may ka dorm mate ako na palaging hatid at sundo sa sariling sasakyan at di pa nagko-commute. Pero noong mag-dorm sya ay kinailangan nyang mag-commute. Minsan pagkatapos ngklase nya ay mag-isa syang pauwi sa dorm. Sumakay siya ng ikot. Pero nalampas sya sa dorm kahit sumigaw sya upang makababa.Paano naman hihinto ang ikot, eh ang sabi nya  kay mamang driver ay:Bye bye!  At pasigaw na inulit pa nang di humihinto ang ikot. Bye bye! Sa halip na:  ""Para!"" Ito kasi ang nakasanayan niyang sabihin sa naghahatid sa kanya pag bumbaba sya sa kotse nila!Ah, freshman talaga!
'Jaj Telan, Kanina sa Zoo 102 Lecture. Merong video na ipapanood sa amin ng prof. E kaso, medyo may glare sa board kung saan naka-project at pini-play yung vid. (NON-VERBATIM)Classmate 1: Paki patay po yung ilaw!Classmate 2: Close the lights!Edi nagsipagtawanan na ang lahat. Hahaha. Buti nalang at hindi ""kill the lights"" ang sinabi. Haha.
Allyson Solidon, UPVTCSituation: Si other friend naka ""graduation gown"".Freshie: (talking to me) ""Yung sa atin diba SAKLAY?""O.o Srsly? Haha. Anyare?
<U+8521><U+767D>,Considered po bang pasado or pasok sa UPLB ang 2.801?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ysa Malacas, March 13, 20138:30-10:00 AMMBLH, UPLBMath 36 B (under Ma'am S.S.D.)ang topic ay Fundamental Theorem of Calculus (FTC) ata, hindi ko na alam kasi late ako pumasok :))while solving a sample problem. . .ma'am: yan ang wag mong gagawin, ang let u be x. . . .(insert more explanations here). . . .so, kilangan nating gumamit ng theorem, yung makakapagpahiwalay sa kanilang dalawa.======boom!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Yves Cabillon," Sabaw moment. (hindi dahil sa hell week)sa isang kainan sa UPLB. 6am. isang grupo ng kalalakihan na mukhang kagagaling sa  magdamag na paglalaro ng Dota. pulang-pula ang mga mata sa puyat.hindi pa nakaget over sa laro at nagyayabangan kung sino sa kanila ang pinakamadaming """"kills"""".  pagkatapos kumain",(aktong magbabayad ang isang lutang na kuya)kuya: (abot ng pera sa counter) Ate, OUT  NA PO.ate: O.o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Nikko Ross Pulutan, Gusto ko lang ipaalam:Mr. Jose Miguel Silva ng School of Econ, nakita ko ang  UP ID mo sa may terminal ng jeep papuntang tandang sora, yung tapat ng toyota. Tanungin mo na lang dun.At kay Mr. John Jay Joshua Cervantes ng School of Econ din, napulot ko ang ID mo sa may CHK. Pm mo na lang ako kung gusto mo'ng makuha. Nakatuwa nga nga eh kasi yun ang napakita ko'ng ID sa guard sa may Math at sakto nakalimutan ko'ng dalhin ang ID ko. Haha. Salamat namanPareho rin pala kayong batch 2012 so if ever ang isa sa inyo ay makakita nitong overheard na to eh pakisabi na lang din sa isa.Salamat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Dm Flo, Kanina sa AS Walk..May dalawang girls na nagkasalubong sa AS walk, mga galing class siguro:Girl 1: Oi girl, nakakasalubong kita lagi pag wala kang class ah.Girl 2: Boba! Angalan namang makasalubong mo ko sa loob ng classroom! HAHAHAHAHA. FTW!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
