tellexcope, gay president(?) kopiko duterte uplb student bagong mang kanor...yehey for my country
KafosoMo, UPLB vs Duterte fans *grace poe laugh*
justcallmeinday, Tataasan din ni Duterte ang sahod ng mga guro kung siya ang magiging pangulo #WatchingFullQuestionAnswer #UPLB
Zhabby, UPLB Supporters of Duterte will not choose Duterte anymore because of Offensive Duterte Supporters against UPLB? Sino ba binoboto niyo?
justcallmeinday, Malaki daw ang funding na ibibigay sa education sector ni Duterte kung sakaling magiging presidente siya. #WatchingFullQuestionAnswer #UPLB
chara_las, Sa issue ngayon tungkol kay Duterte and UPLB, naalala ko yung nangyari nung ME Board Exam namin.
supericawaii, *binay roasted by uplb students* netizens: nice uplb! deserved nya yun!*binastos daw si duterte* netizens: """"""""yabang up""""""""
ndumaguit, Tone...delivery..choice of word...the way this student  convey his question is not academic...HIS MOTIVES IS... https://t.co/HGaqEqL2t1
rialanearriza, Duterte: Some questions at UPLB forum were 'a bit silly':https://t.co/KDMTFUNxpK via @ABSCBNNews
hindiakobanko, From...stephen villena( sya po un student from UPLB n nag tanong kay mayor Duterte) let us read nman un side nun... https://t.co/oA4Tjutyid
PHINews1, This video has been making the rounds on social media. A UPLB student grilled Mayor Duterte in a forum. | Watch: https://t.co/wTNArSBvvi
PHINews1, Duterte to supporters: Be civil, intelligent, decent, compassionate https://t.co/mKnSj546VH #PHVote https://t.co/ElxtG5nrbN
ndumaguit, Common word after damage was done...no intention is not an excuse..rather this manifest a bigger... https://t.co/6iJIRHqJUf
adriyummm, Rappler attempts to hold it against Duterte but ends up endangering a UPLB student. Media drives people crazy. https://t.co/1GHDeSjxNF
PHINews1, UPLB students to #PHVoteDuterte: Give us direct answers https://t.co/sKbrwmeKFq #PHVote https://t.co/Qu9bkdhCho
PhilippineTV, Supporters of Duterte reportedly bullied and harassed Villena after the incident. https://t.co/nTuIu42huT
cristinagiba, Seriously? Habang nagwawarlahan ang mga Duterte supporters at mga naniniwalang walang mali sa pagtatanong ng UPLB... https://t.co/YmCq8LQQ6W
Franckxethee, Teacher Gelo's Blog: Mayor Rodrigo Duterte, Confronted by a UPLB Studen... https://t.co/I7oB3xvZ6r
PHINews1, UPLB student: No intention to disrespect Duterte https://t.co/tc0Dk4f3xO
supericawaii, di ako maka-get over dun sa duterte � uplb student incident putangina
airishbruce, bang duterte vs. UPLB student haha
