1,cebuanoblog, Hahahaha.. Mga alipures.. Ito na ang hinahanap ninyo.. Ang. Tunay na bakla na naging matandang Manyakis.!! !... https://t.co/4BbVoyLAsS,,,,,,,
2,EntriiMedrano, Hala sige @Kuya_duterte .Pasikatin si Ryan Yap. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,,,,,,,
3,ciryle27, #Duterte #DU30 <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/8eZ4SlRHL2,,,,,,,
4,cheskamarya, Duterte not slighted by UP studentﾒs questioning https://t.co/ltYCQ9078K,,,,,,,
5,Zhabby, UPLB Supporters of Duterte will not choose Duterte anymore because of Offensive Duterte Supporters against UPLB? Sino ba binoboto niyo?,,,,,,,
6,justcallmeinday, Malaki daw ang funding na ibibigay sa education sector ni Duterte kung sakaling magiging presidente siya. #WatchingFullQuestionAnswer #UPLB,,,,,,,
7,kirstenrei_, Si Duterte lang yung di nangangampanya pero ang laki ng possibility na manalo. Duterte for the win.,,,,,,,
8,gellaylovely, Student who asked #Duterte my sense pero d mu na delivered ng maayos.,,,,,,,
9,JOHNNY_B15000,"@ABSCBNNews # I don't like Duterte federalism ideology , crime fighter - yes
supericawaii, of course we all still know that duterte mostly capitalizes on our collective anguish, sabay kabig ng ""guys wag tayong ganyan""
jaaaywalker, @jaaaywalker i just ca",IBOBOTO KO TALAGA SI DUTERTE.,,,,,,
10,Irlandezzzzzz, Puro kayo galit dun sa up student eh malayo nga naman talaga kasi yung sagot ni duterte,,,,,,,
11,biancagacad, Dear Duterte supporter: Learn to say, ﾓYes," with reservations"""" via @rapplerdotcom @DilimanConyos https://t.co/bACoTdDpzP",,,,,
12,supericawaii," """"walang modo! bastos!""""*duterte kisses girls apropos of nothing and without consent*""""katuwaan lang naman yun""""",,,,,,,
13,BieAnnBinas, Pinasaya mo yung gabi ko. Oj HAHAHAHA @Kuya_duterte,,,,,,,
14,Cruzitsiritsit," @julieclarisa hahaha ano gusto mo... may duterte bless you with """"putang ina mo"""" HAHAHAHAHAHAHAHAHA",,,,,,,
15,MabandosJr, FUCK YOU tong mga taga UP kala mo kung sinong magagaling . yow  i just want to remind you ang layo mo kay DUTERTE... https://t.co/4B9T5lloqr,,,,,,,
16,mysoredicky1, @suckyouhrder duterte?,,,,,,,
17,supericawaii," """"bastos! hambog porke't taga-UP!""""*duterte flips the finger and says """"tangina"""" on numerous occasions*""""don't take him literally kasi""""",,,,,,,
18,Marielakko, Agila(rap song for Duterte) https://t.co/ZIgTyK1xjZ,,,,,,,
19,cprm013113, #Ad: Freddie Agyular Para sa Tunay na Pagbabago Duterte -  - @RRD_Davao https://t.co/f8XwHnFwQ6,,,,,,,
20,LouisTheSassAss, @Kuya_duterte Ryan yap,,,,,,,
21,giaaaaann, Sino nakakuha nung bucket hat ni duterte?penge,,,,,,,
22,cameyljaleco," """"@Kuya_duterte: """"Magbabago na ako. Promise""""MALAKING KASINUNGALINGAN! BARILIN KITA EH"""" <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B4><U+00AB>",,,,,,,
23,usa_albarracin, RODRIGO ROA DUTERTE FOR PRESIDENT#PHVOTEDUTERTE CAYETANO.. https://t.co/2Eiw7FkUAd,,,,,,,
24,kimMishie, @TanTanTanTaaaan nag mention pud ka bout election and you will vote for duterte man kaya? HAHAHAH,,,,,,,
25,jezreelandre," Are u a Duterte supporter?""""Yes"," with reservations"""" Thanks", @rapplerdotcom,,,,,
26,cnnphilippines, Duterte said his campaign is not shaped by surveys https://t.co/zQNpVVmksx #TheFilipinoVotes,,,,,,,
27,ariane_fabulous, @VenzonJay kan duterte,,,,,,,
28,Ikka14Nikka," """"@Kuya_duterte: 'Di ka talaga papayat kung laging masarap ulam niyo. Buset ka""""",,,,,,,
29,Duterte24x7, Poe thankful for lead in latest poll; Duterte remains unfazed | https://t.co/mDzAdPEM9X #PHVoteDuterte https://t.co/0Bq4WAV79B,,,,,,,
30,gelmarquez, Duterte: Say Duterte 2016!!!Duterte Fantards: D... D... Du... DEATH THREATS!!! DEATH THREATS!!!!!!!!!!!!!!!!!!,,,,,,,
31,brightsiderakoo, @Kuya_duterte Hindi uso sakin Ligo. 555 lang. Lol.,,,,,,,
32,kimMishie, @TanTanTanTaaaan #duterte HAHAHAH TANTAN,,,,,,,
33,usa_albarracin, #phvoteduterte Meaning!!!kayang kaya ni mayor DUTERTE kahit BUONG PILIPINAS PA..SOLID DUTERTE CAYETANO 2016 https://t.co/7UrkiOVKB6,,,,,,,
34,BieAnnBinas, @Kuya_duterte sarap hampasin ng sampung wall clock punyeta,,,,,,,
35,straightedge," Yes! """"Interrupting Rodrigo Duterte"""" via @rapplerdotcom https://t.co/X5asg6l09k",,,,,,,
36,BieAnnBinas, @Kuya_duterte hahahahaha tangina barilin kita jan eh,,,,,,,
37,AlexGGGGGGGG,"Grabe! Sobra sobra tawa ko sa mga tweets ni @Kuya_duterte Hahaha. Laughtrip!
sharmaindesiree, na stress ko sa uban nga mga fantards ni duterte, grabe ka bogo og way of thinking <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>
IVANadium_, Duterte fanboys and fangirls.
LouisTheSassAss, @Kuya_duterte oo hahaha barilin kita eh. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
dominicasipit_, @icydagalangit duterte!
justineleimnl, If I just can unfriend all Duterte supporters on my FB, I will... Pero sino ba naman ako sa buhay nila anek hahahaha pulitika ano ginawa mo?
PisbukDionisia, @TVPatrol @DorisBigornia- Tama dyan si Duterte.Alam na natin kung sino ang unang Tatangging buksan ang Bank Acct... https://t.co/lweL5sDayg
chuan_sheila, Rodrigo #Duterte &amp; Alan Peter #Cayetano mobbed by supporters in Palo Leyte today #DuterteCayetano #PHVoteDuterte https://t.co/G3MwozpHTV
msalvamarjorie, @ppanyppangppang @Kuya_duterte LOL <ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>
JemCarz, Wala akong makitang kabastusan dun sa UP student na nagtanong kay Duterte
julsLokaaaa, WOOOOH NALAFTRIP AKO SA MGA TWEET MO PO @Kuya_duterte
KathleenSheen, Mga hinayupak mag study dw pero nanstalk rman diay kang Duterte ug crush ni Mitch ahay <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
chara_las, Sa issue ngayon tungkol kay Duterte and UPLB, naalala ko yung nangyari nung ME Board Exam namin.
Jaaaniiil, excited na ako makita bukas si Duterte. idol ko talaga sya. Pramis
Asdwightjkl, Kapag kaya nahalal na si duterte buhay pa rin kaya sya kinabukasan? HAHAHAHAHAHA
Jaaaniiil, @Senyora pupunta bukas sa school namin si Duterte. Trip ko mag ala UP-LB. okay lang ba sayo? Hahaha #PHVoteDuterte
msalvamarjorie, @ppanyppangppang @Kuya_duterte hmmm sge na nga~ gusto ko lang naman ng pagbabago eh <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
dextercruzat, April 2 daw pupunta ang Duterte Cayetano tandem sa Batangas City. Whoooooo!!! Nakakaexcite! <ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #PHVoteDuterte
lorelyn_dumaug, Duterte, Rodriguez top in SPC mock polls - Mindanao Gold Star Daily https://t.co/JqIozLmyTC
msalvamarjorie, @Kuya_duterte @ppanyppangppang hmmmm ako ba to? Hahahahahhaha
supericawaii, *binay roasted by uplb students* netizens: nice uplb! deserved nya yun!*binastos daw si duterte* netizens: """"""""yabang up""""""""
ARCHdemm, watched Duterte's speech kanina sa rtr. he seems sincere but every politicians naman eh
marwilliee, Steph supporting Duterte https://t.co/2PMan0wNt3
vl_fe,I'm for Duterte-Marcos!<ed><U+00A0><U+00BD><ed><U+00B8><U+008E>you should know by now...bow wow wow!",,,,,,,
38,aljohnparinas, Tweets ni koya duterte grabeee <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,,,,,,,
39,chinitambok, X - Duterte-Cayetano tandem tops Misamis University mock polls https://t.co/zan85Ryi8v,,,,,,,
40,msalvamarjorie," """"@Kuya_duterte: Sabi ni crush tetext niya daw ako pag-uwi. Puta wala ata siyang bahay"""" HAHAHAHAHA gagi",,,,,,,
41,iSupportMRRD, RodyDu30: RT twit2millions: Walang makakapigil na pabebe kay Duterte sa Tacloban ;) #PHVoteDuterte Kabahan na sila ... ﾅ,,,,,,,
42,iSupportMRRD, RodyDu30: RT ADutertistas: The Oligarch never wanted change. They never want a Duterte presidency. The Filipinos will not be silenced anymoﾅ,,,,,,,
43,iSupportMRRD, RodyDu30: RT PHVote: Rody Duterte talking about Mar Roxas to Tacloban crowd: He cannot handle a crisis. #PHVote https://t.co/tdnNPVgWE0 | ﾅ,,,,,,,
44,iSupportMRRD, RodyDu30: RT Duterte4Pres16: Massive Tacloban crowd now at #PHVoteDuterte rally, saksihan https://t.co/lLlLZqPn7f Duterte #DuterteAko,,,,,,
45,iSupportMRRD, RodyDu30: RT Ideal_Views: Davao City takes centerstage in Duterte political ad  #PHVoteDuterte   via rapplerdotcom https://t.co/0OU7C32vfnﾅ,,,,,,,
46,iSupportMRRD, RodyDu30: RT PHVote: Large crowd in Tacloban cheers as Duterte hits Mar Roxas over gov't response to Yolanda. #PHVote ﾅ,,,,,,,
47,iSupportMRRD, RodyDu30: RT alfrederick_: Duterte supporters: the tumors that continue to infiltrate civilized political discourse in the country. - Josh ﾅ,,,,,,,
48,iSupportMRRD, RodyDu30: RT rapplerdotcom: Duterte: Maski Lumad, Kristiyano, Muslim, I have the solemn duty to uphold peace in this country. #PHVoteDutertﾅ,,,,
49,iSupportMRRD, RodyDu30: RT News5AKSYON: Motorcade ng Duterte-Cayetano tandem, umarangkada na sa Tacloban city #BilangPilipino https://t.co/N4pvMBrDBG | ﾅ,,,,,,
50,iSupportMRRD, RodyDu30: RT News5AKSYON: Libo-libong Duterte supporters, dumagsa sa public rally sa Tacloban city #BilangPilipino https://t.co/ATRJiBQ2Yvﾅ,,,,,,
51,iSupportMRRD, RodyDu30: RT jhoyski927: Duterte: It's the government itself that's oppressing the people.#PHVoteDuterte Duterte #DuterteAko,,,,,,,
