1,AisaDC, Hay. Basic na tinuturo sa ROTC at CAT ang chain of command iho. Or at least sa sibika. Sikat ka na tuloy.  #DuterteVisitsUPLB,,,,
2,melodyefg, Got a nearer glance on him while we're walking home. #DuterteVisitsUPLB.,,,,
3,NheneRosalie, Duterte visit UPLB#PHVoteDuterte #DuterteVisitsUPLB https://t.co/ZZGwFXM6bd,,,,
4,RonaldGem, From @rapplerdotcom: #DuterteVisitsUPLB https://t.co/g76uGHiQXx,,,,
5,mayge28, matuto kang makinig at umintindi. Hindi ung kung ano ang gusto mong sagot, un lang ang ipupush mo.Bakit ka pa nagtanong? #DuterteVisitsUPLB,,,
6,mafefouloz, #DuterteVisitsUPLB #UniversityngPambabastos #TheEducatedBecomesDumb #PHVoteDuterte #PHVoteDuterteCayetano #DuterteCayetano,,,,
7,paul_rpaul, #DuterteVisitsUPLB#PHVoteDuterte https://t.co/P76GKsXNIa,,,,
8,TigerbasRichard, FULL SPEECH: Rodrigo Duterte at UP Los Ba�os, 11 March 2016 https://t.co/END3nw9ogd via @YouTube#DuterteVisitsUPLB#PHVoteDuterte,,,
9,iAmJygs, And hugot-lines-like-MDS moments. Haters gonna hate. Lol. What's up w/ the redundant questions? #DuterteVisitsUPLB <ed><U+00A0><U+00BD><ed><U+00B9><U+0084> https://t.co/MHgfU43qtU,,,,
10,itsdanicabeybe, Sobrang nonsense na ng mga comments about sa #DuterteVisitsUPLB magresearch muna bago magcomment please,,,,
11,gvqtiu, #Duterte kept his cool and spoke from experience. #DuterteVisitsUPLB PHVoteDuterte https://t.co/FFKbIJPYOh,,,,
12,AngkelRodyD30, He is only one of the few.More to come. Kasali yan sa paglaki#DuterteVisitsUPLB #PHVoteDuterte,,,,
13,cutechikkadoll, Can we all just shut up already &amp; stop tryna make a big deal out of it? Tapos na eh. Move on na. #DuterteVisitsUPLB https://t.co/E3VFd2Kk4V,,,,
