1,Migzaurous, #DuterteVisitsUPLB | Davao Mayor prays for federalism https://t.co/r1fa32U8eo via @uplbperspective,,,,
2,hyacinth_aubrey, #UPLB scholar pa namang naturingan! #DuterteVisitsUPLB #duterte2016 #PHVoteDuterte https://t.co/BReRx9YBaH,,,,
3,uplbperspective, #DuterteVisitsUPLB | Davao Mayor prays for federalism https://t.co/z4RhYtdHGI,,,,
4,uplbperspective, #DuterteVisitsUPLB | Davao Mayor prays forﾠfederalism https://t.co/hj9D5mGriT https://t.co/lnUJ4ghZyH,,,,
5,marksabillo, #PHVoteDuterte #DuterteCayetano #DuterteVisitsUPLB ibalik ang GMRC &amp; values education https://t.co/6QRFjgH24s,,,,
6,siJuanIt0, @chichaychi #phvoteduterte #DuterteVisitsUPLB ito yung nagtanong about gun and education?! na ewan ko kung asan patungo ung tanong..,,,,
7,miccamaem, https://t.co/bubhUGBKpP #DuterteVisitsUPLB,,,,
8,cbdelamerced, Three important things that make us Filipinos: the Flag, the Constitution &amp; shared History. #Duterte #Duterte2016 #DuterteVisitsUPLB,,,
9,UPLBConyos, Ooopssie #PHVoteDuterte #NoTrapoPls #DuterteVisitsUPLB https://t.co/SI7qEhET6T,,,,
10,twit2millions, @beorvbwatch the video sir ==&gt;&gt; #DuterteVisitsUPLB ==&gt;https://t.co/yLmFIYAW5q,,,,
11,AdrielAparri, Okay napanood ko na 'yung full Q &amp; A ng #DuterteVisitsUPLB,,,,
12,boywonder6719, #DuterteVisitsUPLB #PHVoteDuterte kaya nga! <ed><U+00A0><U+00BD><ed><U+00B9><U+0084> https://t.co/iISndOGsaZ,,,,
13,boywonder6719, Malalim ang mga sagot ni duterte. hindi lang nila naintindihan kung ano ibig sabihin. #DuterteVisitsUPLB  https://t.co/oCqJ3BLaaa,,,,
14,ForgottenTurtle, Hinihirit ng iba na Mema sagot lang si duterte, Eh Halos Mema lang din naman mga tanong ng studyante. #DuterteVisitsUPLB,,,
15,majoygrefaldo, ako lang ba, o ang biased/inaccurate talaga ng framing ng Rappler at ABS-CBN sa #DuterteVisitsUPLB event???,,,
16,kingdelrosario, UPLB students disappointed Duterte answered just four questions in forum #DuterteVisitsUPLB https://t.co/oIKEn7OUiW,,,,
17,naydCo, Matalino nga pero wala namang respeto mag salita kay duterte. Umayos ka. Boo. <ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E> #DuterteVisitsUPLB #PHVoteDuterte,,,,
18,brigsclark, True #DuterteVisitsUPLB  search nyo din mga ngwa niya pra di lng sa isang forum nyo sya husghan.#PHVoteDuterte  https://t.co/PlHBaoYu60,,,,
19,jerembutido, Napanood ko yung coverage ng Rappler sa #DuterteVisitsUPLB at napansin ko na si Duterte simple lang damit tapos yung iba diyan wooh grabe,,,,
20,ChismosangKB, #Duterte to face raps for #Davao killings? #DuterteVisitsUPLB #Duterte2016 Read more: https://t.co/nppDOpftot https://t.co/wcU5qzrcuo,,,,
21,sfj_malaran, The comments about UP students tho. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A7> #DuterteVisitsUPLB https://t.co/vnfQVgw3DK,,,,
22,rihannaantero," Natatawa talaga ako nung kahapon sa #DuterteVisitsUPLB kasi ung entrance song ay """"You Raise Me Up"""" like yes? bakit yan yung song <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",,,,
23,savvynanivas, Anong nangyare sa #DuterteVisitsUPLB ??? I was too busy being apathetic haaaay. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A7>,,,,
24,pmlnnmndz," """"You might want to look behind me. Because behind me"," is a filipino in agony and in despair"""" - #Duterte #DuterteVisitsUPLB #Duterte2016",,,
25,desiree2ne1, Akala ko if well educated well mannered din haist so disappointing pasikat lng yung isa s nagtanong eh bastusan lng #DuterteVisitsUPLB,,,,
26,desiree2ne1, Napanuod ko yung replay ng Q&amp;A ang rude pala ng isa s nagtanong very disappointing #DuterteVisitsUPLB #PHVoteDuterte,,,,
27,hindiSANdara, Yey! #DuterteVisitsUPLB video available on March 14 https://t.co/Qf2JZxqhTw,,,,
28,davs_TorreSanto, #PHVoteDuterte Sagpa kyo ni sa Gabriela n dli msupporta ky #Duterte #Duterte2016 #DuterteVisitsUPLB,,,,
29,jmymzon, Yung student na nagtanong kay Duterte sa UPLB parang walang respeto,ganun din siguro sya sa ama nya. #DU30 #Duterte2016 #DuterteVisitsUPLB,,,
30,R_Gestiada," Natawa talaga ko kahapon kay Du30 dun sa """"Wala na si Duterte :("""" Hahahaha #chopperproblems #DuterteVisitsUPLB",,,,
31,aeLmo_, So @rapplerdotcom nga lang nagcover ng #DuterteVisitsUPLB? Hahahah! Fcuk mainstream media! Buti pa si Binay nicover para masiraan. :)),,,,
32,ptrcktndr," Comments section of news about #DuterteVisitsUPLB in a nutshell:- """"Masyadong nagmamagaling mga taga-UP""""- """"Sayang tax namin sa inyo""""",,,,
33,konisgrateful, #PHVoteDuterte  Thank YOU UPLB @uplbperspective #DuterteVisitsUPLB 3.11.16 #VoteDuterteCayetano @Duterte4Pres16 https://t.co/r0FcTVaaLo,,,,
34,brigsclark, Puso pairalin ha wag puro utak. Nakakabaliw yan. #PHVoteDuterte #DuterteVisitsUPLB #DU30 https://t.co/NEVz4lTqXY,,,,
35,yukigrrl, Daaamn ABS-CBN, back at it again with the misleading headlines! #DuterteVisitsUPLB https://t.co/juesTBNfsM,,,
36,paul_rpaul, Grace Poe's YAPPING about COCO LEVY FUND ISSUE REBUTTED!PAKI EXPLAIN SENADORA#PHVoteDuterte#DuterteVisitsUPLB https://t.co/aMvhZXc0EP,,,,
