1,Kumeresign, 7 Days na lang. #PiliPinas2016 Debates na naman!!!,,,
2,AngkelRodyD30, @du30movement All out support! Para sa icon! #PHVoteDuterte #PiliPinas2016,,,
3,julidynbernido, Excited with the 2nd presidential debate! #PiliPinas2016,,,
4,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/61fakG6Kk5,,,
5,4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/exOLpH21Il,,,
6,4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/lkP0u6TXJa,,,
7,4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/FFdmQ7D1o4,,,
8,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/Q2LZpEkOPw,,,
9,4everlikearose, No need for dictators pretending to be our saviors. #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016 #LabanLeni  https://t.co/3dWfI2Xzhh,,,
10,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/nWTlvOQY1o,,,
11,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/MjmPuUK7mU,,,
12,4everlikearose, Naku Mia, di lang ikaw ang disappointed kay Duterte.#PiliPinas2016 #PiliPinas #Halalan2016  https://t.co/7i67DtHq1R,,
13,KHEENSHIN,"NoTo <ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097> #PiliPinas2016 #BilangPilipino #Eleksyon2016 #Halalan2016  https://t.co/pYl8CflMrQ
4everlikearose, Duterte, another nuisance candidate, next to Poe. #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/Say15aWIVN
4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/7tmAWfnBf7
majzacarias, #PiliPinas2016
4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/iyP5BYBRZ1
meheyvvv, Re-watching #PiliPinas2016
4everlikearose, Ganda!  Katas ba yan ng overpriced projects sa Makati? #PiliPinas2016 #PiliPinas #Halalan2016 https://t.co/M5dfLMYL4g
4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/4TyztTkHqF
4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/anvAGELfil
4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/3qej5E53TG
4everlikearose, Mga cronies na nakinabang nung Martial Law, concern ngayon? Pabobola ba tayo?#PiliPinas2016 #PiliPinas #Halalan2016  https://t.co/IUFFBJ625k
iDonzzy, This student from UPLB deserved to be humiliated. SMH... #PiliPinas2016  #PHVoteDuterte https://t.co/l6XeQHhU2B #fb
4everlikearose, Patay, torture, kulong pag kumontra kay FM nung ML. If Dut wins, anong ending mo pag kumontra ka? #PiliPinas2016  https://t.co/r8F33ZDTxJ
4everlikearose, Imbis magsorry, baguhin na lang ang history.  Bong2Marcos, wag iboto yan. #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/xfadnJOy3W
4everlikearose, Heto pala ang magician eh. #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/FdcWA5Ryya
4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/kSlzHHevuH
4everlikearose, MARtrabaho na lang para walang kawatan.#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma  https://t.co/SfzTDtHVIe
4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/4cjbV4gMr0
4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/fr5x27DGPl
4everlikearose, Parehong diktador sina Binay at Duterte.Ang naiba lang sa una eh yung kindat.#PiliPinas2016 #PiliPinas #Halalan2016  https://t.co/3Oe70SheCM
boroacay, i learned a lot last monday!! #ITMMakeAChoiceHaveAVoice <ed><U+00A0><U+00BD><ed><U+00B2><U+00A1> #PiliPinas2016 #Halalan2016  https://t.co/mAMQIqyzkr
kathysaysss, sana magpa-poll din ang Comelec dito sa twitter for President at sige kahit pati VP kaso 4 nga lang pala choices. <ed><U+00A0><U+00BD><ed><U+00B8><U+0090> #PiliPinas2016
pinoymommy, Yung mga ganitong statements ang pagmumulan ng gulo eh. Tsk, tsk. #PiliPinas2016  https://t.co/1soY2EbDqP
DJMendez_17,How do you feel abt SC's verdict re Grace Poe's case? #PiliPinas #PiliPinas2016 #HuwagBobotante",,,
14,vinchie_cebu, Ballots for #PiliPinas2016 have been mailed. The #OFW vote will deliver for #duterte2016. Heroes <U+2764><U+FE0F> #PHVoteDuterte <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/Ah6aQNmEP0,,,
15,AlinPiyaya, Can the country afford a Binay presidency? #NoToBinay #VotePH2016  #PHVote #PiliPinas2016 #Halalan2016 https://t.co/rAwDVThwqF,,,
16,4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/fGMBdO7609,,,
17,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni https://t.co/P0bGqOMbpS,,,
18,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni https://t.co/GTn0EPW39h,,,
19,AlinPiyaya, #Corruption I had to pay a bribe to leave the Philippines! #VotePH2016  #PHVote #PiliPinas2016 #Halalan2016 https://t.co/WDW2lcGR20,,,
20,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni https://t.co/2Wd3cXCXvH,,,
21,4everlikearose, Hmmmm puto bombers at iba pang kakanin. #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016 #LabanLeni https://t.co/hP5Mg5qL6J,,,
22,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni https://t.co/qq3TGzu4UA,,,
23,4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/5HVGpJDuvy,,,
24,4everlikearose, True.  Wake up voters, only fairies have magic wands. #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/brTuitAQHN,,
25,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni https://t.co/I7hzDY808I,,,
26,4everlikearose, Isyu ko kina Poe,Binay at Dut, lahat sila sinungaling. Kapatid ng liar ay..#PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/dIyl14GSvJ,
27,4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016  https://t.co/XNOjUA0die,,,
28,4everlikearose, They know, Mar is the man to beat.  Ayaw lang aminin kasi it hurts. #RoxasRobredo #PiliPinas2016  #Halalan2016   https://t.co/G8YqAV2hGK,,
29,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni https://t.co/LpGNYYDqFO,,,
30,4everlikearose, Eh yung photo op king, di ba kaplastikan din yan? #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/LPL1VpMp0A,,
31,4everlikearose, Why the hate? Maybe because some people thought Daang Matuwid has a magic wand. #PiliPinas2016  #Halalan2016  https://t.co/ePChkK6dTU,,,
32,4everlikearose, Meron pa rin talagang nag-iisip. #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/V1hF8wtXH5,,,
33,4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/iM7Pb7jwzt,,,
34,4everlikearose, #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/oxEsD7MF45,,,
35,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni https://t.co/BgZUd5qktC,,,
36,4everlikearose, #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni https://t.co/Q7rPBYWgGy,,,
37,jjunbana, It's not the physical, Jejomar, but I don't trust your face! LMAO! #NoToBinay #PiliPinas2016 https://t.co/vCZ41hTljR,
38,ItssLCMJ, Sana ikaw ang manalo Idol Rudy Duterte #PHVoteDuterte #PiliPinas2016,,,
39,TheSuperKim, @Senyora so, meron talaga gustong bumoto kay Mar? Jusko. Ayos naman! #PiliPinas2016,,
40,niccolapuz, #PiliPinas2016 #PHVoteSantiago,,,
41,pinoymommy, Bigla lang naalala ang coconut farmers kasi #Halalan2016. Anong ginawa ninyo sa ilang taon nakabinbin yung funds nila, aver? #PiliPinas2016,,
