1,iamjohnkeronz, Ayoko nang may 3rd Debate. Sabi nila yung kabila BOYCOTT ee. Kampihan pala daw nila si Mar. Yeta :3 #NoToDebate #PiliPinasDebates,,,,,,,,,
2,johncarlosdomi3, @trish_roque thats a wrap final broadcast abs-cbn in pangasinan for the final round of #PiliPinasDebates,,,,,,,,,
3,johncarlosdomi3, @trish_roque #FarewellANTM nyle d marco watches #PiliPinasDebates 2nd round coverage,,,,,,,,,
4,johncarlosdomi3, @trish_roque excited na ang #PiliPinasDebates sa radyo patricia,,,,,,,,,
5,nevaamind, Nagkaka pikunan na po <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> hahahha #PilipinasDebates  https://t.co/POTgwNwI7o,,,,,,,,,
6,bornokyo, I will not watch the comedy show called #PIliPinasDebates.,,,,,,,,,
7,johncarlosdomi3, @carlalimnews5 what happened to this live broadcast of the #PiliPinasDebates,,,,,,,,,
8,wanderingleon, Back in 1992. #PiliPinasDebates #throwbackthursday https://t.co/QLaLA5PHqF,,,,,,,,,
9,eloisalparito, Di ko kasabot kung malipay ko nga sabay sabay ko gina yawyawan sa akong lola mama ug papa <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> mura sila nag #PiliPinasDebates <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,,,,,,,,,
10,IBlvInGoodNess, When will be the next #PILIPinasDebates?  And whar channel?,,,,,,,,,
11,johncarlosdomi3, @carlalimnews5 no actual sign language hearing impaired deaf interpreters are harmed in the making of #PiliPinasDebates,,,,,,,,,
12,kierhes, Atlast, natapos ko nading panoorin ang Round 2 ng #PiliPinasDebates and I like Grace Poe na. #Poe2016 Make America Great Again. Charot!,,,,,,,,
13,lalarimando, Hereﾒs an informed and intelligent perspective on the recent ﾓentertainingﾔ presidential debate.  #PilipinasDebateshttps://t.co/4enneCkozM,,,,,,,,,
14,eryckaltrs, pinagpalit ako ni alfred sa PilipinasDebates<ed><U+00A0><U+00BD><ed><U+00B8><U+0091>,,,,,,,,,
15,daphnieduran, owned debate, schooled presidentiables &gt;&gt; 4 Reasons Why #LuchiCruzValdez Should Run for President #PiliPinasDebates https://t.co/cz2YvQhcuZ,,,,,,,,
16,jomartzacarias, Dameng-tawa sa behind the scenes before the Pilipinas Debate. Panalo talaga si Mayor Duterte. #PilipinasDebates,,,,,,,,,
17,daniellamanuzon, Ung feelings mo parang PilipinasDebates ANG GULO GULO!,,,,,,,,,
18,pillowtalkgzn, #PilipinasDebates replay nw,,,,,,,,,
19,amsvoo, #PiliPinasDebates - Candidates are articulate,good researchers of facts and other's mistakes. But the winner is the one who has #blockvotes.,,,,,,,,
20,amsvoo, Just watched #PiliPinasDebates Weird ni Binay, as a lawyer he should know where to check as far as rules are concerned.#uninformedpresident,,,,,,,,
21,its_yhayieeh, Now watching #PilipinasDebates #Replay Ganda ganda!,,,,,,,,,
22,jenisaarias2," """"@BilangPilipino kailan po pala ang next @pilipinasdebates sa channel2?",,,,,,,,,
23,reymundoph, Round 2 of #PilipinasDebates #Eleksyon2016 is a shame. A mockery of what was suppose to be a brain storming event... https://t.co/ZtBBvmpWQ2,,,,,,,,,
24,rzzzzzy, NW: #PiliPinasDebates -ang saya! Hahaha.  <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,,,,,,,,,
25,imdonjoreck, @maydamitako may pilipinasdebates ba mamaya?,,,,,,,,,
26,hellokittyRine, Bibo gyud diay ang #PilipinasDebates sa Cebu <ed><U+00A0><U+00BD><ed><U+00B8><U+008C>,,,,,,,,,
27,awesomexneth, Ang gulo nyo! Wala akong maintindihan! #PilipinasDebates,,,,,,,,,
28,elphieswife, Watching replay of PiliPinasDebates. Duterte nagtataas ng kamay bgo mgsalita. Mar, nnnanapaw. Opposite manners! @RRD_Davao @Luchitweet,,,,,,,,
29,FlorTugas, #pilipinasdebates#upcebu#tanongngmgaajournoAngsayaD q lng naumpisahanHahaha,,,,,,,,,
30,bancatubay, Late but this #PilipinasDebates reminds me so much of UP's Mudslinging Miting de Avance. Gondo,,,,,,,,,
31,zeahaeyo, Watching #PiliPinasDebates on tv for the 2nd time. Duterte still savage af.,,,,,,,,,
32,sab_bernal, Walkout pa more #NotoBinay#pilipinasdebates 2016 https://t.co/hw7nmmJ8f2 https://t.co/IjKmbIx12G,,,,,,,,,
33,sab_bernal, Oo nga!!#NotoBinay#pilipinasdebates 2016https://twitter.com/scarlettruby25/status/711887708558270468 https://t.co/Xk7HwcassV,,,,,,,,,
34,sab_bernal, Idol ni Binay si Goebbels#NotoBinay#pilipinasdebates 2016https://t.co/rsforTm4cj https://t.co/e621RsYa3e,,,,,,,,,
35,bancatubay, #PilipinasDebates replay on TV5. Right now,,,,,,,,,
36,ElaicaDc, Comedy Show nalang ba talaga ang pilipinasdebates?,,,,,,,,,
37,luzano_mark, Round 2 ng Debate! Game :) kahit di la botante hahahaha! #PilipinasDebates,,,,,,,,,
38,lideck_921yahoo, Replay of PilipinasDebates @TV5manila right now.,,,,,,,,,
39,rhenfdp, yan ang tunay na news.. nagcredit to owner@gmanews @TV5manila #PilipinasDebates https://t.co/kpBnjUAC9t,,,,,,,,,
40,barrioj1, Haha #pilipinasDebates nga nmn https://t.co/BsJIzW59Zq,,,,,,,,,
41,JustineTime023, omg nasestress talaga ako for Luchi Cruz Valdez haha! Di pa rin ako makagetover from yesterday #Replay #PiliPinasDebates,,,,,,,,,
42,TheFreemanNews, Following Sunday's Visayas leg of #PiliPinasDebates, Rody Duterte visits Carcar City in Cebu | #cebuvote2016 https://t.co/xzLj4sLkEx,,,,,,,,
43,cristinaecla, watching the replay of #PilipinasDebates,,,,,,,,,
44,vhiafetalcorin, Closing Statement. #PiliPinasDebates,,,,,,,,,
45,PHINews1, Duterte to Roxas: Mar, you are a pretentious leader #PHVote #PiliPinasDebates https://t.co/lJdlSbyhjQ,,,,,,,,
46,vhiafetalcorin, Galing ni Poe. #PiliPinasDebates,,,,,,,,,
47,wanderingleon, Back in 1992. #PiliPinasDebates #throwback https://t.co/QLaLA5PHqF,,,,,,,,,
48,i8fallingstars, #PilipinasDebates https://t.co/p12KV74Mtv,,,,,,,,,
49,ambrose7107, #PHVote #PiliPinasDebates buti ung Tatlo, naSpecify ung paglaban sa kurapsyon, si Binay? O di lang masyado?,,,,,,,
50,tomahawkmissile, Niratrat ang mga rebeldeng Muslim habang tangan tangan ang mga hostage! #nervousBreakdown #ZamboangaSiege #humanShield #pilipinasdebates,,,,,,,,,
51,Superjaica, #PiliPinasDebates replay <ed><U+00A0><U+00BD><ed><U+00B3><U+00BA>,,,,,,,,,
52,tak_en1207, <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> turning 72 na pala si #presduterte?! nkkloka!!! looking bagets ang ating next president!<ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+008E> #du30 #PiliPinasDebates https://t.co/uHQJctV2nH,,,,,,,,,
53,kimmysandra24, Mayor Rodrigo Deterte for the win! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>#PilipinasDebates,,,,,,,,,
54,itsbiancamillef, Atm... Laughtrip ako kay Rodrigo at Mar! G na G sa isa't isa! #Replay #PilipinasDebates https://t.co/lynF3Jlb2b,,,,,,,,,
55,annlessss, Kawawang Mar!Watching #PilipinasDebates Replay!You are a pretentious leader!#Duterte2016,,,,,,,,,
56,leyoward, Pangako pa more ROXAS! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>#PilipinasDebates,,,,,,,,,
57,annlessss, #PiliPinasDebates Replay on @GMA_PA !Watchhhh!,,,,,,,,,
