1,UPsaHalalan, PHOTOS: UP sa Halalan: #DuterteVisitsUPLB https://t.co/i7Kaavg67Y via @UPLBOfficial #PHVoteDuterte #PiliPinas2016 https://t.co/za76cJRBTt,
2,UPsaHalalan, Local government and the national elections https://t.co/H1MyvaiiE8 https://t.co/50lo3GkRFT,
3,UPsaHalalan, You may also keep yourself updated via this live-stream link from @UPLBOfficial #DuterteVisitsUPLB https://t.co/orUM0eeJZB,
4,UPsaHalalan, Follow @UPLBOfficial  for tweets and updates on @RRD_Davao's visit to #UPLB. #DuterteVisitsUPLB  https://t.co/Lf1x8efUSy,
5,upsystem, Join the @UPsaHalalan Blogathon at @UPLBOfficial! For mechanics, please check out the announcement. #PiliPinas2016 https://t.co/HUNEVCUnXh
6,isko_algorithm," @UPLBOfficial @UPsaHalalan does """"constiuents"""" include alumni? :)",
7,UPLBOfficial, Join the @UPsaHalalan Blogathon! See mechanics below: https://t.co/ueRgREaO4V,
8,UPsaHalalan, Sa March 20 na! #PiliPinasDebates2016 sa @UPCebuOfficial https://t.co/5hHFuLVhhT https://t.co/3ZLGwjZsu2,
9,UPsaHalalan, Poe is the median voter's choice: analyst https://t.co/xGN9BKasoE via @ABSCBNNews,
10,UPsaHalalan, Inequality, debt and tax injustice https://t.co/UyL1yjIGJP via @inquirerdotnet
11,UPsaHalalan, University profs to Bongbong: Dictatorship is not 'golden age' https://t.co/A0LFwiBEMs via @PhilstarNews,
12,UPsaHalalan, Two events to raffle off debate tickets to public https://t.co/cTXBt1Txq3 via @cebudailynews #PiliPinasDebates2016 #PiliPinas2016,
13,UPsaHalalan, Analysts to Binay: Widen scope of message https://t.co/Ex0fpDxLSj via @rapplerdotcom,
14,adiposeless, #InternationalWomensDay  https://t.co/QatS7mcy6l,
15,UPsaHalalan, Philippine Politics is Still a Manﾒs World https://t.co/Zl89Z7km0x https://t.co/2sW2K6dUez,
16,UPsaHalalan, Supreme Court allows @SenGracePOE to run for president https://t.co/LAs5dgOW4v via @cnnphilippines #PiliPinas2016,
17,UPsaHalalan, VIDEO: ABS-CBN Summer Station ID with emphasis on #Halalan2016. ABS-CBN is an official media partner of @UPsaHalalan https://t.co/0v9Xby4bcW,
18,UPsaHalalan, Manny Pacquiao is the Anita Bryant of the Philippines https://t.co/ah7dj2x5q6 https://t.co/GCpKlVzE9L,
19,UPsaHalalan, Views on Issues: Metro Manila Traffic by @UPAdCore https://t.co/w6mZxE1pDg https://t.co/U6oeVEpwJ5,
20,UPsaHalalan, Views on Issues: Mamasapano Incident by @UPAdCore https://t.co/oQdCyvAGPn https://t.co/LS5QDZadc3,
21,sanchezjanella, Halu, everyone! This is tomorrow!  https://t.co/sZUClG4x1C
22,MSCBaluyot, tomorrow https://t.co/vHee03PG4X,
23,lirawrrr," ﾓThe new format includes one candidate asking one question from the other candidate."""" uho https://t.co/QpwP9lacSs",
24,UPsaHalalan, UP Baguio to hold Pulse Check: A Local Candidates Forum on 7 March https://t.co/kzY6sZZovN #PiliPinas2016,
25,theMorexette, Check out @wiseUPCebu2016's official Facebook page for more updates! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/OTs2xPUjvv,
26,UPsaHalalan, Entertaining Politics and Politicizing Entertainment https://t.co/OX6zbAd3lu https://t.co/SXafrbYD4V,
27,UPsaHalalan, #PilipinasDebates: UP to raffle off 900 slots for on-ground activities https://t.co/QTPQ1UlJO9 via @TheFreemanNews H/T: @wiseUPCebu2016,
28,UPsaHalalan, Happening on March 20: New format for Cebu prexy debates https://t.co/m1WsdBfPmz via @TheFreemanNews H/T: @wiseUPCebu2016,
29,UPsaHalalan, VP race still tight, fluid: analysts https://t.co/7tpfJKsKW8 via @ABSCBNNews
30,UPsaHalalan, 'SC decision on Poe DQ case may be swing vote' https://t.co/EjXnrgPq1p via @ABSCBNNews,
31,UPsaHalalan, #NoFilter: The 'Mitra Effect' https://t.co/n23HDYX2U6 via @ANCALERTS,
32,UPsaHalalan, Poe, Binay share lead in tight pres'l race: Pulse https://t.co/TjsGF2PND6 via @ABSCBNNews
33,UPsaHalalan," Update on preparations for the #PiliPinasDebates2016 from @wiseUPCebu2016 https://t.co/CSBHWjTWJo via @wiseUPCebu2016""",
