1,themoronmagnet,#bestInKwela#halalan2016 #PiliPinasDebates2016 #peace #payapa #repost (with Benj) [pic] ﾗ https://t.co/LmYRKWnUzb
2,DocDrjv,Dapat investigate ng comelec to  halata nmn pgkabias ni @KarenDavila desperate move MAR #PiliPinasDebates2016 https://t.co/xx6LJVmvmY
3,lot_alcala_sy,Duterte is Dauntless, Poe is Amity, Mirriam is Erudite. Binay and Roxas are factionless, wlang kalagyan yung dalawa.  #PILIPINASDEBATES2016
4,AlleeeenDC,Re-watching #PiliPinasDebates2016 <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
5,boykoolaid,Ano na naman? <ed><U+00A0><U+00BD><ed><U+00B8><U+00B4><ed><U+00A0><U+00BD><ed><U+00B8><U+00B4>#PILIPINASDEBATES2016
6,Fitzger80466537,Interview Portion With One Of Roro's Supporters Receiving 5 Thousand https://t.co/TUM5PMiopB via @YouTube#PiliPinasDebates2016
7,jazzyrem29,@iamkarendavila sorry sa mga nambabash na kapwa ko maka Duterte.. I still believe in you! U did great job during #PiliPinasDebates2016
8,Kimmmylexiii,Hirap pumili no, Ako na lang kaya tumakbo?Kasi lahat sila boto sa akin...para sa'yo. <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>#PiliPinasDebates2016 https://t.co/oliknnRzka
9,IamArbhie,#Duterte all the way ako... He is talking more sense about everything... #PiliPinasDebates2016 #Halalan2016 #DuterteForPresident2016
10,IamArbhie,#Duterte all the way ako... He is talking more sense about everything... <U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+FE0F><U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>#PiliPinasDebates2016 #Halalan2016 #DuterteForPresident
11,TVPatrol,KILALANIN: Mga Pilipinong humarap sa 5 kandidato sa pagka-Pangulo #PiliPinasDebates2016 https://t.co/M5GmmvXuKQ https://t.co/YJDcz5lIeH
12,iamrenabad,#PiliPinasDebates2016 may point. https://t.co/krNmHc0N4p
13,jake_taroma,@vicegandako sana po matulungan nyo ang batang ito #PiliPinasDebates2016 https://t.co/xInWDNCj0K
14,DiaryOfHugots,Karen Davila: We have to move on at some point.#PiliPinasDebates2016
15,showbiznest,ABS-CBNﾒs #PiliPinasDebates2016 Beats GMA-7 and TV5's Presidential Debate Series; Rakes 40.6% TV Ratings. Read here https://t.co/Y1MJG1cdW7
16,ultimatechance2,T**i ni Presidential Candidate Jejomar ""Jojo"" Binay. Hahahahahaha!!!#PiliPinasDebates2016 #OnlyB1nay
17,paaatracy,Nadali mo!!!! #PiliPinasDebates2016 https://t.co/hjO4Hw6SmP
18,DDimaps,Anybody except Poe and Roxas. God bless the Philippines. #PiliPinasDebates2016 https://t.co/l3vi6OfZxB
19,eviang214,Ipinagyabang pa naman yan sa #PiliPinasDebates2016  ang bilis naman ng sagot ni Lord. Ipinakita nya agad ang totoo<ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/8qXb3p15Q9
20,asquioco,#GMA is the most preferred #PiliPinasDebates2016 based on comments. More power #GMA7! https://t.co/Rz6mn1Nu6C
21,GenalynnIcatlo,Iba2 man ang mapipili nating kandidato sa pagka pangulo, iisa padin at hangad natin- Pagbabago! Kaya sana magka buklod #PiliPinasDebates2016
22,breathfreely101,Because you have the best and willing to give her greatest.  #BakitSiMiriam#MIRIAM2016 #PiliPinasDebates2016
23,artz0808,#PilipinasDebates2016 #jetski? We demand greatness but we settle for ""bobo"" response on pressing natl issues,retarded much? #MarHasMyVote
24,Mantzarlis,Anyone familiar w/ Philippine media know who at @ABSCBNNews is running their fact-checking of #PiliPinasDebates2016? https://t.co/xMnZEdZE9l
25,imajimperial,Kung si Korina ang moderator ng debate, mga maligno ang nagtanongWhite lady: May concern po ako sa security sa amin#PiliPinasDebates2016
26,imajimperial,Binay, your experience is nothing kung puro pagnanakaw lang ginawa mo sa experience na yun. #PilipinasDebates2016
27,imajimperial,OMG MIRIAM DELIVERING HER CLOSING STATEMENTS AND THE OTHER CANDIDATES ARE LIKE ""RESPECT THE MOTHER"" #PilipinasDebates2016
28,imajimperial,MIRIAM SANTIAGO SLAYING ALL THE CANDIDATES BY JUST CITING HER ACHIEVEMENTS. #PilipinasDebates2016
29,imajimperial,Kahit ngayon, minumulto pa rin tayo ng mga nagawa ni Marcos. Let's move on by NOT electing another Marcos, please.#PilipinasDebates2016
