1,Laaaarsss,Watching the vice presidentiable debates <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
2,VincentNSingco,CNN Philippines did great for hosting Vice Presidentiable Debate. Better than the two last Presidentiable Debates! :)
3,glaesanadriano,Intense Vice Presidentiable debates. Intense din yung amoy ng niluluto ng kapatid ko. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Gutom na ako!
4,P_auhsoj,@alnalxm watch the Vice Presidentiable Debates instead XD
5,KavenDaDURANT,Hindi Ako Makanuod Ng Presidentiable Debates For Vice President . Hmmmft! Basta Chiz Ang Boto Ko! Alam Kong Worth It . =)
6,mairetri,Good job @cnnphilippines for hosting this Vice Presidentiable Debates 2016 <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008D> #PiliPinasDebates2016
7,ayishanessalove,Watching this Vice-Presidentiable debate is better than watching the last Presidentiable debates.  More focus on... https://t.co/u0ZCaRbfJn
8,Rojeo12,Vice presidentiable debates live in UST manila
9,angeli1227,Vice Presidentiable Debates!
10,Mamibudah,Pinakamagulong audience ang ns vice presidentiable debates#PiliPinasDebates2016
11,rheannemay_21,Hmmmm... Pilipinas Debates 2016... Vice Presidentiable...
12,iamsweetcel,Ang galing ng vice-presidentiable debates! Payabangan.. Paangasan! Hahaha! ﾗ watching CNN Philippines
13,jayzbreaker,Ang intense ng Vice Presidentiable debates mga palaban ang mga kandidato #PiliPinasDebates2016 #MarcosforVP2016
14,_byvng,Unsa channel ang Vice presidentiable debates man?
15,simplyzhey,All I can say with the Vice Presidentiable debates is BURN!!! Haha more interesting and hitting the real point! #PiliPinasDebate2016
16,trixxreyes,Si Binay dawit pa rin kahit Vice Presidentiable debates! Hahahaha #PiliPinasDebates2016 #PiliPinasDebate2016
17,DANYAELLL,Sunog na sunog na si Binay sa Vice presidentiable debates,  ay sorry sunog na pala siya <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> #PiliPinasDebates2016
18,Chill_April,Watching the Vice-Presidentiable Debates.. this is entertaining.. #CayetanoVPko  #DuterteCayetano #PiliPinasDebate2016
19,jheana,This vice presidentiable debates is full of ads. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
20,ZelleAlbarico,Mas intense pala ang vice-presidentiable debates! Wooohhhh suntukan nalang! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>#PiliPinasDebates2016
21,jufelKNORReen,Okay!!! Grabe!!! Intense!!! Both match-ups of ateneo vs la salle and vice-presidentiable debates
22,ShaiTisai,Mas intense pala ang vice-presidentiable debates! Wooohhhh suntukan nalang! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>#PiliPinasDebates2016
23,algrace09,Pilipinas Debates 2016Vice Presidentiable Debate...It is the running mate's turn... ﾗ watching CNN Philippines
24,Alfalfow,Woke up just in time for the CNN Vice Presidentiable debates <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>
25,AMShippers_ofc,Now watching @cnnphilippines vice presidentiable debates. #PiliPinasDebate2016
26,dheepenguinlove,Please tune in for the vice presidentiable debates now! #PiliPinas2016 #waghangalsahalalan2016
27,onzehenzo,now watching Vice Presidentiable Debates 2016, Good Luck andﾅ https://t.co/4kHX6CWPWa
28,carrotsherrera,ayan na ang pinakahihintay na vice presidential debates. let's go!!!! mas malaman to vs. its presidentiable counterpart. claiming it!
29,carminamxx,Now watching PiliPinas 2016 Vice Presidentiable Debates.
30,8HzGlen_,READY NA PO AKO magrant tungkol sa Vice Presidentiable Debates. :)
31,iamsimplybianca,Vice Presidentiable debates now happening!!
32,RamonMatics,Please watch Vice Presidentiable Debates! Mamaya na po! #cayetanovpko https://t.co/DyWlDMtPBn
33,twentyfifthshin,Good thing, @cnnphilippines will host vice-presidentiable debates. Yay! #nobias
34,CharisseAbalos,Don't forget to check out the Vice Presidentiable Debates later, Mandalenyos! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> 5pm at @cnnphilippines  https://t.co/eieVAxpJAj
35,mdvillalon,pacquiao-bradley fight at vice-presidentiable debates ngayongandang manood ng tv
36,railen_,Guys, may Vice Presidentiable Debates this sunday, 5pm sa CNN Philippines~
