justcallmeinday,Malaki daw ang funding na ibibigay sa education sector ni Duterte kung sakaling magiging presidente siya. #WatchingFullQuestionAnswer #UPLB
DrGaai,no more #cow's #milk. #UPLB #DairyHusbandry. taken 12 apr 2014; posted 14 mar 2016. #LosBa�os #Laguna #itsmorefunin� https://t.co/H39nYThmo7
inseeeeeyn,#tb #UPLB https://t.co/bANvft5u03
ninabellatrix1,"I don't have time for incoherently phrased, stupid questions specially from one whose education I am paying for. #UPLB"
missjover,@raggster yung reporter na nagdefend Kay Manny dati. He made a statement na naman ngayon another round ang pag bully sa bata. #UPLB
LeMadScientist,"strength in numbers is only for barbaric wars not for social media wars, dat strength in mind power haha #UPLB"
byangtan,"""Bastos lang jud ka tawhana ka!! #UPLB #Student #Bastos"" ah ganyanan na diay"
missjover,Nakisawsaw pa si IRA Panganiban sa isyu ni Stephen Villena. Ngayon another round of bashing na naman ang nararanasan ng bata. #UPLB
Ijoshuant_you,#UPLB blockbakan wuhooo https://t.co/eIPnB1xfj5
Facunbryan,MAKITID ANG UTAK NI #UPLB MAN
iambeloy13,"Stephen villena!!!sikat ka na!!!
Ang talino mo kc e ano!!!
Bravo!!!<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>
Pd naman kc nd magsalita!!!
Ayan naka-salo ka ng ipot! #UPLB"
maykelandrew,"Wala akong nakikitang mali sa ginawa ni Stephen of UPLB. Grabe makahusga, panuorin nyo kasi buong video #UPLB"
jerichorayel,"#UPLB friends, sugod! oo na, gusto ko ng away. bastos ako. https://t.co/Tc4I0QW7dZ"
evesalcedo012,"#UPLB 
I feel sorry to studient felling kong sino
Matalino nasa talampakan ang utak."
missjover,@xpeanutgalleryx that's true yung cp number ng bata they posted it sa isang ProDuterte group. Mga utak sobrang sama #UPLB
PHWatchers,"#UPLB's Stephen Villena gets Schooled.

https://t.co/nrZ2Y0XACk https://t.co/yUE4PQu8Q3"
jaykaytiel,"The more you know, the less you can be a dick. #PSA #UPLB https://t.co/hQGOadLDjq"
UPLBResearch,"Everyone is invited to attend the seminar series organized by CPAF, #UPLB. On 17 March 2016, Dr. Carolyn... https://t.co/emfz8AeRjv"
UPLBOfficial,"[#UPLB Job Opening] Three (3) REPS position under Animal and Dairy Sciences Cluster, College of Agriculture https://t.co/JykWk0o8iS"
withersfork,#Duterte's message to his supporters RE #UPLB student: https://t.co/h4clwE3zbf
abbyshug,"#UPLB 
#duterte
Stephen Villena https://t.co/3WIQpFfDLZ"
greyPSYCHo,"No intention to disrespect, kasi natural na ganon ang kultura. #UPLB"
msnph,#UPLB student to #Duterte supporters: I meant no disrespect | https://t.co/PAHtqKPJX3 https://t.co/Wksiwufx3h
ziekfucker,"Stephen sure knows how to answer

#UPLB"
anterucirpo,I liked a @YouTube video https://t.co/igRMU6wIHF Eto ang direchong sagot ni Mayor Rody Duterte sa pambabastos ng isang #UPLB
itsaboutMwark,Regarding on the issue bout the #UPLB student who raised question to #Duterte . Bumili Ka ng common sense! Ta** Ina. 1/3
missjover,Dahil nagtanong c #StephenVillena sa isyung panlipunan ganito na ang sinapit s kamay ng supporters ni DUTERTE #UPLB https://t.co/BaVoQ2jb93
DizzyMissNizzie,I urge every #Du30 supporter to just understand all sides of the situation before you type vitriol. Seriously. :( #NoToBullying #UPLB
patph81,#UPLB  https://t.co/ggyURb7YYM
zheyrhumbee,This is the lowest of the low!!! To tell someone to kill himself is pure evil! #StopCyberbullying #UPLB https://t.co/7fIbTM75Pi
kennrealtime,The State shall assign the highest budgetary priority to education... Article XIV Sec. 5 (5). #UPLB
mysurnameisALI,..cause I haven't done it for a while. #makipagdebate #uplb #dontUS #dontUPLB
aryzai,Proud #UPLB alumni!
TheMuslimGayGuy,I think the #UPLB student is trying to fish for bad fish. Making sure the person's answer will end up wrong https://t.co/J0PMy3DuWr
TheMuslimGayGuy,"I am not a @RRD_Davao fan but that #UPLB Student is just (God knows what). Stupid question and arrogant gesture, trying-hard aktibista? LOL"
rommelmacayan,"Pagpupugay kay Stephen Villena! 
#UPLB #elbi @uplbperspective @UPLBOfficial"
ayiegarcia,#UPLB innovator develops machine to cut pest damage in #rice &amp; #corn https://t.co/AyoTyVlUYZ https://t.co/uA6x4A5GUl
jhedmasters,"May death threat na daw yung estudyante galing UPLB na nambashes kay duterte.. eh pno pa kya pag nagong presidente yan!! :x
#UPLB"
JAstbeyourself,Kabog yung open letter. May tatak Elbi talaga. (If you know what I mean) <ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00BC> #UPLB
missjover,"Pinaglaruan nyo pagkatao niya, pati na pamilya niya. You even bullied pati yung mga nagtatanggol sa kanya. Yan ba ang disiplina? #UPLB"
JAstbeyourself,An open letter wouldn't change anything. Whats done is done. #UPLB
Mond_gan,"Maybe this #UPLB man is expressing his side, he should point out it in a right manner"
missjover,Your mob bullied ang isang bata na gusto lang magkaroon ng direct na kasagutan sa isyung panlipunan. #UPLB
riggzS,"I know a lot of #UP and #UPLB grads,I'm married to an alumnus who has an uncle who taught in UPLB.none of them are rude.NONE!"
jrbadet,The other face of the coin of the #Duterte and #UPLB student controversy. https://t.co/w0p7tfHfQX
EjayGregorio,What's the issue with #UPLB ?
romeotoring,The other face of the coin of the #Duterte and #UPLB student controversy. https://t.co/wNlMXmE34Y
missjover,"After defending Stephen Villena, eto nambubully at ginawan mo pa ako ng hashtag ha #UPLB https://t.co/zqWd4U22xd"
KristelMK,#StephenVillena #UPLB
imjeffmondragon,We know that we are well educated people. <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> #UPLB
imjeffmondragon,What a very intelligent manner. #UPLB  https://t.co/cCo1c1y3Ap
itsmephats,My opinion about UPLB Student Stephen Villena vs Mayor Duterte @leahnavarro #Duterte #UPLB #StephenVillena https://t.co/0PbDcYQ8Ak
ImNotKaren,"here we go again 
#uplb fight lang"
missjover,"another supporter of Duterte, na kahit sinabihan n wag mang bash or magbully hindi sumusunod. #walangdidiplina #UPLB https://t.co/zqWd4U22xd"
staromanadaniel,It's nice to just lie-down in the middle of the field. #LosBa�os #UPLB #UltimateFrisbee #park� https://t.co/JWEUxn7pkw
renzsucaldito,"Monday terror. Hahaha
#UPLB #campusphotowalk #photowalk #CASA2 @ University of the Philippinesﾅ https://t.co/u8lkFbn1k6"
andreperezph,#PHVoteRoxas #UPLB
jaykaytiel,"Thank you Internet,for enabling us to be dicks more efficiently than ever. Death threats over that? We're taking butthurt to a new lvl #UPLB"
myleessss,"""Kalaban ang kalaban. Kalaban ang kakampi, nakakapagod."" - Heneral Luna
#uplb"
joefrenparaiso,"To be fair, I understand both sides and both sides misunderstood. #UPLB"
_ivannnnn,Unwinding through viewing is effective. Try it. <ed><U+00A0><U+00BD><ed><U+00B8><U+008C><ed><U+00A0><U+00BC><ed><U+00BD><U+0083><ed><U+00A0><U+00BC><ed><U+00BD><U+0082> #uplb #freedompark #vscophile #vscocam #vscoﾅ https://t.co/CZKtjiGilp
CLAwiiish,"mapapamura nalang ako hahahahhahahahaaha
utak ng mga tao oh. di ko alam kung anong logic ginamit dito.
  #UPLB"
DizzyMissNizzie,"GRABE TALAGA ANG #du30 LOGIC. WALANG MINTIS. 

Dahil sa inyo, kawawa yung #UPLB student."
NashNacion,"Duterte has spoken: Do not bash the #UPLB student but rather, be kind with critics and show compassion."
_ivannnnn,Went for a walk. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00BA><U+00B6><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> #vscogood #vscodaily #vscoph #vsco #vscocam #vscophile #uplb @ UPLB Campus https://t.co/eM8Ue318xR
neenahilario,"Here's my 2 cents on the #UPLB #DU30 #DuterteVisitsUPLB online word ""war""

#RespondDontReact #RespectEachtOther https://t.co/DKnEAcFdgs"
isko_algorithm,"""Those who do not move, do not notice their chains.""
Rosa Luxemburg

magbalikwas! magtanong! kumwestiyon! para sa bayan! #UPLB"
kmingcay,"It's not how he asked question or how he asked for the straight-forward answer, it was the question which doesn't make sense. #UPLB"
jvolbedo,#uplb
jayson_umandap,"to that #UPLB student, maging magalang po kasi. tska dun sa pagpili mo ng salita sa taong tinatanong mo, basic yan, bata ka gumalang ka :)"
ninfa_sus_viej,"Yeah, me too!  I'm so proud of you Stephen Villena!  We support you!  #UPLB https://t.co/aSu0zoSXoK"
ilovealgebra14,Tangang Pinoy + Free Data = Goodbye Philippines #UPLB
jaconxx_,"Dammmn... did Mar Roxas really pay Stephen Villena 50,000 Php just to talk shit to Duterte at UPLB?

#UPLB #DuterteVisitsUPLB #Duterte2016"
missjover,#UPLB # IStandWithStephenVillena https://t.co/Yz89ap8OdK
Niksus__,https://t.co/aHAY6IVu1O #UPLB #AnOpenLetterFromTheBastosUPLBSTud
missjover,Pati cp no. ng bata niresearch at shinare dun sa ProDuterte group. They r uncontrollable kahit may issue n ang Duts camp na huminahon #UPLB
ilovealgebra14,Naglabasan yung mga magagaling sa english na kahapon lang naman nalaman ang difference between compromise and compensate. Hayy..#UPLB
ilovealgebra14,Naglabasan yung mga magagaling sa english na kahapon lang naman nalaman ang difference between compromise and compensate. Hayy. #UPLB
missjover,@audreydomasian nabasa mo open letter niya? naiiyak ako at naawa sa bata.. #UPLB
missjover,"@audreydomasian hay naku, sobra,... nakakawa ang bata.. #UPLB"
missjover,"I read the open letter of Stephen Villena,naiiyak ako na naawa sa bata. kahit nabastos siya at ang pamilya niya,he remains respectful. #UPLB"
jaengnozales,You know what youll get when you disagree on the majority. Like martial law on the PH Internet community #Du30 #UPLB https://t.co/BRcZRPCm3N
gregsroc,May message daw si Rihanna sa #UPLB https://t.co/FtesgeFq8P
jaengnozales,Context #Duterte2016 #UPLB https://t.co/CZD2SIy8DX
garlic_more,"As i watched #UPLB video, i pity the student coz it looks like he was trying to look intelligent but sorry you shouldve think first be4hand."
missjover,"and now i am being bullied, just because #IStandWithStephenVillena  #UPLB"
garlic_more,"Kung akoy taga #UPLB hindi ko ikakahiya ang kanyang pagiging arogante. 
Mas ikahihiya ko yung paggamit nya ng maling words na tila engot."
Iam_MrsJ,6/6 #stopthehate  #UPLB #duterte #StopCyberbullying
iamdonibanez,"Tigil tigilan na yang manners na yan, sabihan nyo muna kandidato nyo bago kayo magsalita sa iba #UPLB"
GreenDei,#UPLB #DU30 https://t.co/Doz0mlQ5QW
missjover,@RodmyrDatoon That's right. bigla ko namiss ang chocnoy :) #UPLB
holykaisoofix,i stand by stephen villena #NoToCyberBullying #UPLB
missjover,After defending Stephen Villena last night I got this tweets from Duterte supporters #smh #UPLB https://t.co/9tN70UXknz
sirpacquingplss,because the mass' waiting for uplb's reaction for/against their scholar. #uplb  #stephenvillena  https://t.co/eNA4kf3fTq
sirpacquingplss,sobrang dami kong time magrant about don sa #uplb incident eno
sirpacquingplss,"Alam mo naman na plang bastos yung tao,bt kailangan gayahin? Be the bigger and better person. #stephenvillena #uplb https://t.co/HqUyoHIjdN"
Crizzy0121,Sa tingin ko sinagot naman ni Duterte ang mga tanong siguro ndi lang un ung sagot na expected nila it means they just expected more. #UPLB
zildjian16,nakakalungkot #UPLB
EissaMarquez,"it is our moral obligation to help our Pilipino people to open their minds. kampihan sa #UPLB kampihan sa #DU30?

#weareallpilipinos"
janamerol,Nakapunta ka na ba ng #Davao try mo pumunta para makita mo ano nagawa ng binabastos mo. #UPLB
janamerol,Responsive answer deserves responsive question.d maintindhan question mo. Believe me you wont be success. Wala kang respeto #UPLB
MoxieLi,"To think this #UPLB student's question phrases what we all want to ask Duterte. God bless you, kid! #PHvote2016 https://t.co/kGNJZFFHpC"
lumadcharm,@mapetiteangela he bullied #Duterte too. So now they are even. All is fair in politics and war. <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #UPLB
mickeysh,"#UPLB  OK naman ang punto ng Estudyante ang mali lang siguro nya is pagkakabigkas nya ng salita,
Medyo ""rude"" lang sa pandinig ng iba."
gatasnasioco,"Remember, there is a fine line between simply giving out a reaction and stating an INFORMED opinion. Be responsible. #UPLB iskos stand tall!"
gatasnasioco,This is a concrete example how powerful and dangerous media is bc in some ways it can be misleading. My heart goes to #UPLB <U+2764><U+FE0F>
jellianxkii15,"Dasmag man gud ug deretso!! Hahaha

#UPLB
#PHVoteDuterte https://t.co/Rsy498vYsp"
mirademition,5/5: Learn to know and weigh things before judging him. Keep your own shit to yourself and have a decent manners. #UPLB
mirademition,4/5: He just want a clear and direct answer from Duterte. So stop judging and bullying the UPLB student. #UPLB
mirademition,3/5: Just because sinagot nya si Duterte and may rebuttal does not mean that the student is arrogant and rude. #UPLB
mirademition,2/5: They are always quick to judge the student without knowing the whole story that happened in the forum. #UPLB
mirademition,1/5: Watched the viral video of the UPLB student who was bullied online. What's wrong with the people? #UPLB
