jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
xosigrid,Parang gago yung haters nung UPLB student re: Duterte forum. Magbigay nga kayo ng legit na argument leche
kristine554433,Si Mayor Digong binastos ng isang UPLB student pero kalmado parin si Marimar tinanong lang ng isang taga media naPIKON agad! #PHVoteDuterte
jadine_uplb,"Ahhhhh, my <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> heart's melting. So cute Robert and Alexis <U+2764><U+2764><U+2764> https://t.co/UmpiHYymOU"
landthere,And UPLB is now trending. Ano na ba talaga nangyayari?
rarararanel,UPLB is finally on the trends list
kareneam,tell me more about that UPLB stud issue.
georgialugtu,Hello non-UPLB friend na nagoover react sa issue na hindi man lang pinanood yung video. How dare you say na bastos KAMI LAHAT? Mas bastos ka
MitosDee,@slutsKIEeqn  Wag daw matakot ang mga di kriminal. Sentensyado na si stephen! Pati UPLB. Paktay.
missjover,"Nakaawa ang ginagawa ng mga Duterte fans sa UPLB guy,yan pinalabas n naman na binayaran @uplbperspective @UPLBCDCSC https://t.co/1cTVJ0UsJA"
Ccrizeld,@damienful lol let the entire student body of UPLB bear the consequence for the mistake of one? People are fond of stereotyping. <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>
Paulalalaley,"Nakakabadtrip yung UPLB student, ikaw nalang sana yung tumakbong presidente. Mukhang mas marunong ka pa kay Duterte."
clydeestan,Ang yabang nung student na taga UPLB. Sana nirespeto man lang si Duterte bilang tao
stephenalbertv,Di po ako ung Stephen Villena from UPLB huhu. Dami kong haters bigla :((
clocperez,Nakakainit nga ng dugo yung bata sa UPLB. Parang mas tamang gamitin ang compromise. Di compensate.
AppleJayee,Buti na lang other UPLB students used their sane minds. Bravo to non-Stephen Villena there!
marlouneytunes,Nanahimik ata yung mga UPLB pips na supporters ni Du30. #ChooseASide people oh. #TeamStark lols
jadine_uplb,"VOTE NOW!
My MYX Music Awards 2016 Favorite Female Artist is Nadine Lustre. Vote now! https://t.co/OCkiu7iME1"
MattBorlado,Hay kakahiya you get to go to UPLB using the tax collected from the nation's people tas ganyan ka kabastos. @VillenaStephen
jgecruz12,HAHAHAHAHAHAHA social media pa mowrrrr. Mahal pa rin kita UPLB &lt;3
imsupereli,"uplb = arogante

k po"
theluigibernabe,"When UPLB students are rude to Binay during his visit there, everybody is cool with it."
karenlacuata27,"Sikat na si Stephen Villena 
Sya yung UPLB student na nambastos kay Mayor Duterte 
Naku buti di ka pinahiya at... https://t.co/pYdHvThkwd"
joseffbatoon,"@royehlol pero Mayor sya.... or kahit Normal na  tao lang sya, dapat may respeto paring pinakita ang  uplb man"
razecostales,LOL keyboard warriors thinking they're so smart. ooooooh the sweet sails of irony. tawanan na lang natin yan mga UPLB students.
GellieGalutera,That UPLB student went overboard
MarlNov,"Yung tono palang ng pagtatanong ni Arrogant Man este Stephen Villena, halata mo nang gusto talaga magpasiklab eh. Taga UPLB, lakad makabobo."
slutsKIEeqn,Bakit  feeling ko di na ligtas UPLB after election? Gusto lang naman i-challenge lahat ng candidates <ed><U+00A0><U+00BD><ed><U+00B9><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF>
fearlesslightb,Not defending that student cos I know he is really wrong. But I'm against to the du30 supporters who generalize the whole uplb community.
abrieruiz,"So, are you from UPLB? https://t.co/LSjb1yFxcx"
SheenaJoaquin,"pustahan tayo magkakaron na naman ng mga ""AN OPEN LETTER TO"" dahil jan sa #UPLB student issue <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
eyjeytu,"""hindi sasalamin sa 15,000 na populasyon ng UPLB ang sampling size na n=1"""
SerLorasMD,"everybody being offended by that UPLB person because nabastos nya si Digong.

mygod ahhh. ano kayo,  fantards?"
MarvinFlores23,Paano kaya hindi si Duterte yung binastos ng nung UPLB student what if si Roxas un or si Binay sure ako tatawa lang yung mga tao
theandreross,"Pag si Binay binastos ng mga tiga UPLB, everybody cheers. Pag si Duterte, everybody loses their shit. I don't get it."
GeraldEmld,"Trending ""UPLB"" sa Twitter HAHAHAHAHAHAHAHAHAHAHAHAHA"
jadine_uplb,"REMINDING EVERYONE TO VOTE!
My MYX Music Awards 2016 Favorite Artist is Nadine Lustre. Vote now! https://t.co/OCkiu7iME1"
gerhardp1991,Hmmm.... UPLB
Nelleyhats,@ohannaaamarie Good point though but maybe because at first the student is still unnamed and all info the netizen had is he's from UPLB.
unGelo_,"According to one post of an alumni of UPLB, the name of that rude b****** is Stephen Villena. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>"
apriloblepiasss,Off to uplb haha
WHOBOUGHTWHOBUD,Bastos na UPLB Student all over my feed lagot!!!
abasoloRMC,@kittikittkitt ang na butang sa Rappler kay instead na si Stephen Villena lahi ang tao hahahaha pero mao gyud ni ang UPLB - Man haha
jadine_uplb,My MYX Music Awards 2016 Favorite Song is Me and You. Vote now! https://t.co/OCkiu7iME1
Froliloise,"UPLB kid: ""Makakabili ng mahal na baril without compensating the budget for education"". It's compromising, kid, and not compensating."
jadine_uplb,My MYX Music Awards 2016 Favorite Music Video is Me and You. Vote now! https://t.co/OCkiu7iME1
jhonybaloney,"I pushed studying in UPLB pra makapgtrans sa Diliman pero putangina, ELBI is lyf!!! <U+2728> punta ka dto dre pra mafeel mo https://t.co/Bf4rTTVqZY"
danpedrosa2,Naluoy ko gamay ating taga UPLB
jhubielyng,lol at the people demanding for respect when they themselves aren't; talk about irony and hypocrisy #uplb
pjsiasat,"Cut him some slack for God's Sake. Stop cyber-bullying the kid. Duterte handled it calmly, why can't you? #UPLB"
ashangfrxnceska,"yung mga taga-UPLB na kilala ko, mahihilig talaga sumabat at mangatwiran kahit mali, may masabi lang <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
RoyehLOL,"Saludo ako sa UPLB student na kayang magtanong ng diretso kay Duterte. Tama lang naman yung ginawa nya e. DIBA NGA, KANDIDATO SI DUTERTE!"
kiegonpijera,"wag naman sana lahatin ang estudyante ng UPLB.
meron din namang matitino. #Duterte2016"
mynameisjea,Enjoying all the grilling and bashing aimed towards this ignorant and rude UPLB stud. He deserves it <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
MarkyMall,Duterte slays the question of a UPLB student.
ChrisBcCIntosh,my tita graduated from UP diliman yet she was disgusted  looking at the arrogant UPLB student
iamJurizaAnne,"Kung gusto mo ng madaliang pag sikat, tularan si Stephen Villena ng UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
kristine554433,@Duterte24x7 si PASIKAT MAN UPLB Student na nag mamagaling
JoshLabis,I cant believe some students on twitter actually defend the UPLB student who disrespected duterte..
BoomPANGA,Wala namang kasalanan yung UPLB mismo. Sadyang naglipana nalang talaga kung sasaan ang mga bastos na kabataan. #Duterte2016
