iamjohnkeronz,Ayoko nang may 3rd Debate. Sabi nila yung kabila BOYCOTT ee. Kampihan pala daw nila si Mar. Yeta :3 #NoToDebate #PiliPinasDebates
johncarlosdomi3,@trish_roque thats a wrap final broadcast abs-cbn in pangasinan for the final round of #PiliPinasDebates
johncarlosdomi3,@trish_roque #FarewellANTM nyle d marco watches #PiliPinasDebates 2nd round coverage
johncarlosdomi3,@trish_roque excited na ang #PiliPinasDebates sa radyo patricia
nevaamind,Nagkaka pikunan na po <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> hahahha #PilipinasDebates  https://t.co/POTgwNwI7o
bornokyo,I will not watch the comedy show called #PIliPinasDebates.
johncarlosdomi3,@carlalimnews5 what happened to this live broadcast of the #PiliPinasDebates
wanderingleon,Back in 1992. #PiliPinasDebates #throwbackthursday https://t.co/QLaLA5PHqF
eloisalparito,Di ko kasabot kung malipay ko nga sabay sabay ko gina yawyawan sa akong lola mama ug papa <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> mura sila nag #PiliPinasDebates <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
IBlvInGoodNess,When will be the next #PILIPinasDebates?  And whar channel?
johncarlosdomi3,@carlalimnews5 no actual sign language hearing impaired deaf interpreters are harmed in the making of #PiliPinasDebates
kierhes,"Atlast, natapos ko nading panoorin ang Round 2 ng #PiliPinasDebates and I like Grace Poe na. #Poe2016 Make America Great Again. Charot!"
lalarimando,"Hereﾒs an informed and intelligent perspective on the recent ﾓentertainingﾔ presidential debate.  #PilipinasDebates

https://t.co/4enneCkozM"
daphnieduran,"owned debate, schooled presidentiables &gt;&gt; 4 Reasons Why #LuchiCruzValdez Should Run for President #PiliPinasDebates https://t.co/cz2YvQhcuZ"
jomartzacarias,"Dameng-tawa sa behind the scenes before the Pilipinas Debate. Panalo talaga si Mayor Duterte. 

#PilipinasDebates"
pillowtalkgzn,#PilipinasDebates replay nw
amsvoo,"#PiliPinasDebates - Candidates are articulate,good researchers of facts and other's mistakes. But the winner is the one who has #blockvotes."
amsvoo,"Just watched #PiliPinasDebates Weird ni Binay, as a lawyer he should know where to check as far as rules are concerned.
#uninformedpresident"
its_yhayieeh,Now watching #PilipinasDebates #Replay Ganda ganda!
reymundoph,Round 2 of #PilipinasDebates #Eleksyon2016 is a shame. A mockery of what was suppose to be a brain storming event... https://t.co/ZtBBvmpWQ2
rzzzzzy,NW: #PiliPinasDebates -ang saya! Hahaha.  <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
hellokittyRine,Bibo gyud diay ang #PilipinasDebates sa Cebu <ed><U+00A0><U+00BD><ed><U+00B8><U+008C>
awesomexneth,Ang gulo nyo! Wala akong maintindihan! #PilipinasDebates
FlorTugas,"#pilipinasdebates
#upcebu
#tanongngmgaajourno
Angsaya
D q lng naumpisahan
Hahaha"
bancatubay,Late but this #PilipinasDebates reminds me so much of UP's Mudslinging Miting de Avance. Gondo
zeahaeyo,"Watching #PiliPinasDebates on tv for the 2nd time. 
Duterte still savage af."
sab_bernal,"Walkout pa more 
#NotoBinay
#pilipinasdebates 2016 https://t.co/hw7nmmJ8f2 https://t.co/IjKmbIx12G"
sab_bernal,"Oo nga!!
#NotoBinay
#pilipinasdebates 2016https://twitter.com/scarlettruby25/status/711887708558270468 https://t.co/Xk7HwcassV"
sab_bernal,"Idol ni Binay si Goebbels
#NotoBinay
#pilipinasdebates 2016
https://t.co/rsforTm4cj https://t.co/e621RsYa3e"
bancatubay,#PilipinasDebates replay on TV5. Right now
