cebuanoblog,Hahahaha.. Mga alipures.. Ito na ang hinahanap ninyo.. Ang. Tunay na bakla na naging matandang Manyakis.!! !... https://t.co/4BbVoyLAsS
EntriiMedrano,Hala sige @Kuya_duterte .Pasikatin si Ryan Yap. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
ciryle27,#Duterte #DU30 <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/8eZ4SlRHL2
cheskamarya,Duterte not slighted by UP studentﾒs questioning https://t.co/ltYCQ9078K
Zhabby,UPLB Supporters of Duterte will not choose Duterte anymore because of Offensive Duterte Supporters against UPLB? Sino ba binoboto niyo?
justcallmeinday,Malaki daw ang funding na ibibigay sa education sector ni Duterte kung sakaling magiging presidente siya. #WatchingFullQuestionAnswer #UPLB
kirstenrei_,Si Duterte lang yung di nangangampanya pero ang laki ng possibility na manalo. Duterte for the win.
gellaylovely,Student who asked #Duterte my sense pero d mu na delivered ng maayos.
JOHNNY_B15000,"@ABSCBNNews # I don't like Duterte federalism ideology , crime fighter - yes"
supericawaii,"of course we all still know that duterte mostly capitalizes on our collective anguish, sabay kabig ng ""guys wag tayong ganyan"""
jaaaywalker,@jaaaywalker i just can't imagine Duterte investing more in defense than in education. It's not really surprising but... srsly?
gabrielethesexy,To pass Philo1 under sir. Trajano: show him you support duterte <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>
FayeOrense,@rchllmpiong sana pag nanalo si duterte ipapatay niya din ung mga PAASA hahahahah
bieannethebully,@Kuya_duterte @PatamaPost sino si Ryan Yap? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Kuya_duterte,"KINILALA - KINAMA - BINIGYAN NG IPHONE

Na Ryan Yap ka teh"
lunalexander10,"Bakit ba ang main issue ay yung student na ""nambastos"" ? 
MAY NAKAPANSIN BA NG MGA GINAGAWA NG SUPPORTERS NI DUTERTE? HINDI BA YUN ANG GAGO?"
narendeguzman,"@Kuya_duterte @PatamaPost  @justmechelsea_  lantawa ba, naa silay forever <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
louileonardo,Natatakot na ngayong kandidato pa lang si Duterte wagas na makapag death threats mga supporters nya sa mga against sakanya
jaaaywalker,"I believe what happened to Duterte in elbi was not an issue at all. Just those sensitive, air-headed supporters (not all of them tho)"
ejecal3,"""@Kuya_duterte: RELATIONSHIP GOALS:
Ryan Yap and Nicole Pascual <U+2764><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/OtgW9SU8hq""@samaniguhh patay na"
elamaepnda,@Kuya_duterte HAHHAHAHAHAHHAHA
ABSCBNNews,"WATCH: Duterte on latest SWS survey: 'O wala na, talo na' 
#Halalan2016 https://t.co/iv0MUAlyBd https://t.co/5bHM7Rl8OS"
FrennPins,Whether you like Duterte or not at the end of the day he is the last card among the candidates
biatchfthomies,"Okay na sana si duterte eh, kaso di talaga ako makakagimik pag gabi <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>"
ELdrian21,"Gikapoy nako aning 15 president of phil. Duterte nalang akong gi studyhan kay ""ignore the past, focus on the future."""
Fitzger80466537,"Go Duterte (Android Game) https://t.co/pOmsfG3JXK via @YouTube
#GoDuterte
#PhVote
#PhVote2016
#PhVoteDuterte
#Duterte
#DuterteGame
#Du30"
Kuya_duterte,Hindi porket marami kang iPhone ay chix ka na. Malay mo galing kay Ryan Yap yan<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
BrianMesias2000,5 Reason Why Mayor Duterte Needs to be the Next President in 2016 #Duter... https://t.co/rnFpCOsfeX via @YouTube
gmhicka,"I liked a @YouTube video from @rapplerdotcom https://t.co/GIbhzP80Nu FULL SPEECH: Rodrigo Duterte at UP Los Ba�os, 11 March 2016"
_iamerudite,11:14 rational reasoning to the filipinos esp duterte's supporters
sabelsabelsabel,Duterte https://t.co/jR90ZPmGsr
Jaaaniiil,may libreng snack bukas sa pagbisita ni Duterte. tara na guys. dapat before 12 andun na tayo Hahaha
Papi_2015,Magiging ganito kaya Pilipinas pag si Duterte nanalo? https://t.co/4qSqM6PNR0
aljdlrc,Trending si Duterte <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Fitzger80466537,"Go Duterte (Android Game)
I Just Saw this on Google Play, May Ganitong game na pala.
Di Na Talaga... https://t.co/XQhs1DRSEM"
marlucalderon,Ar. Lee is the Duterte of UST Arki.
verlenesays,@chuan_sheila hi do you know duterte's campaign headquarters here in Manila? Me &amp; my friends would@like to volunteer. Thanks!
supericawaii,isipin nyo na lang kapag naging presidente si duterte at may mga raliyista na
