Kumeresign,7 Days na lang. #PiliPinas2016 Debates na naman!!!
AngkelRodyD30,@du30movement All out support! Para sa icon! #PHVoteDuterte #PiliPinas2016
julidynbernido,Excited with the 2nd presidential debate! #PiliPinas2016
4everlikearose,#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/61fakG6Kk5
4everlikearose,#PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/exOLpH21Il
4everlikearose,#PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/lkP0u6TXJa
4everlikearose,#PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/FFdmQ7D1o4
4everlikearose,#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/Q2LZpEkOPw
4everlikearose,No need for dictators pretending to be our saviors. #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016 #LabanLeni  https://t.co/3dWfI2Xzhh
4everlikearose,#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/nWTlvOQY1o
4everlikearose,#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/MjmPuUK7mU
4everlikearose,"Naku Mia, di lang ikaw ang disappointed kay Duterte.#PiliPinas2016 #PiliPinas #Halalan2016  https://t.co/7i67DtHq1R"
KHEENSHIN,NoTo <ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097> #PiliPinas2016 #BilangPilipino #Eleksyon2016 #Halalan2016  https://t.co/pYl8CflMrQ
4everlikearose,"Duterte, another nuisance candidate, next to Poe. #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/Say15aWIVN"
4everlikearose,#PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/7tmAWfnBf7
majzacarias,#PiliPinas2016
4everlikearose,#PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/iyP5BYBRZ1
meheyvvv,Re-watching #PiliPinas2016
4everlikearose,Ganda!  Katas ba yan ng overpriced projects sa Makati? #PiliPinas2016 #PiliPinas #Halalan2016 https://t.co/M5dfLMYL4g
4everlikearose,#PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/4TyztTkHqF
4everlikearose,#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/anvAGELfil
4everlikearose,#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/3qej5E53TG
4everlikearose,"Mga cronies na nakinabang nung Martial Law, concern ngayon? Pabobola ba tayo?#PiliPinas2016 #PiliPinas #Halalan2016  https://t.co/IUFFBJ625k"
iDonzzy,This student from UPLB deserved to be humiliated. SMH... #PiliPinas2016  #PHVoteDuterte https://t.co/l6XeQHhU2B #fb
4everlikearose,"Patay, torture, kulong pag kumontra kay FM nung ML. If Dut wins, anong ending mo pag kumontra ka? #PiliPinas2016  https://t.co/r8F33ZDTxJ"
4everlikearose,"Imbis magsorry, baguhin na lang ang history.  Bong2Marcos, wag iboto yan. #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/xfadnJOy3W"
4everlikearose,Heto pala ang magician eh. #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/FdcWA5Ryya
4everlikearose,#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/kSlzHHevuH
4everlikearose,MARtrabaho na lang para walang kawatan.#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma  https://t.co/SfzTDtHVIe
4everlikearose,#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/4cjbV4gMr0
4everlikearose,#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/fr5x27DGPl
4everlikearose,Parehong diktador sina Binay at Duterte.Ang naiba lang sa una eh yung kindat.#PiliPinas2016 #PiliPinas #Halalan2016  https://t.co/3Oe70SheCM
boroacay,i learned a lot last monday!! #ITMMakeAChoiceHaveAVoice <ed><U+00A0><U+00BD><ed><U+00B2><U+00A1> #PiliPinas2016 #Halalan2016  https://t.co/mAMQIqyzkr
kathysaysss,sana magpa-poll din ang Comelec dito sa twitter for President at sige kahit pati VP kaso 4 nga lang pala choices. <ed><U+00A0><U+00BD><ed><U+00B8><U+0090> #PiliPinas2016
pinoymommy,"Yung mga ganitong statements ang pagmumulan ng gulo eh. Tsk, tsk. #PiliPinas2016  https://t.co/1soY2EbDqP"
DJMendez_17,How do you feel abt SC's verdict re Grace Poe's case? #PiliPinas #PiliPinas2016 #HuwagBobotante
