francezlynn,#ayokongmagmahal ang tuition fee <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/et6BbfjFbV
dancingcookie19,@ssaamantha__ para cute jk hahahaha. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> ang inet sa diliman e :( #budgetcut #ayokongmagmahal
VinisaParilla,#ayokongmagmahal <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>
lawrence_ng_,@VinisaParilla walk out oy! #ayokongmagmahal
rennardmarquez,When Jollibee himself is done with commercialized education and student repression #AyokongMagmahal https://t.co/0CquWv652d
lithlstar,Strong! #Rise4Education #AyokongMagmahal #WalkOutLikeThis <U+270A>
imahumanecho,"Tapusin na ang Valentines ng Tuition and Other School Fees. #AyokongMagmahal

P.S. Kikilos na poﾅ https://t.co/7tJKCaHFEq"
uplbperspective,"I posted 24 photos on Facebook in the album ""#AyokongMagmahal Walkout Protest 2-24-16"" https://t.co/VcQr0VPdia"
uplbperspective,"Earlier today, the UPLB community participated in the #AyokongMagmahal Walkout Protest. Read https://t.co/BtSj9mFccw https://t.co/ExJQrmCBdb"
uplbperspective,"Earlier today, the UPLB community participates in the #AyokongMagmahal Walkout protest

Read full story here:... https://t.co/7Fy2t1UJfx"
JhaseLinH,#AyokongMagmahal #JunkAndRefundOtherSchoolFees https://t.co/EiVY7QX2Lm
dnlrnpnzlnxxi,@TearsOfWill HAHAHA. #AyokongMagmahal
lastsheenaalive,Parang yung #AyokongMagmahal https://t.co/C028E5wfm0
junsnu,Hindi ako nag walk out... umabsent lng (o nagpa sobrang late). Lol. #AyokongMagmahal
jynnqx,Taray ng hashtag para sa tuition fee hike #AyokongMagmahal
uplbperspective,#UPLBWalkout now back at Hum bldg steps to continue program. #AyokongMagmahal
phkule,Student groups hold a protest at Mendiola to oppose tuition hikes and other school fee increases #AyokongMagmahal https://t.co/luBgNPtcsQ
uplbperspective,Snake rally now marching to PhySci Bldg. #UPLBWalkout #AyokongMagmahal
uplbperspective,#UPLBWalkout holds cultural program in front of MBLH #AyokongMagmahal https://t.co/oS7cj8aTrh
masbenaning,Bet ang hash tag sa KP: #AyokongMagmahal
uplbperspective,A Jollibee mascot also poses for a photo with #UPLBWalkout after being cheered by students. #AyokongMagmahal
uplbperspective,Snake rally now at CHE. #UPLBWalkout #AyokongMagmahal https://t.co/SDUq2DWM70
