"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Malaki daw ang funding na ibibigay sa education sector ni Duterte kung sakaling magiging presidente siya. #WatchingFullQuestionAnswer #UPLB",FALSE,0,NA,2016-03-14 15:20:27,FALSE,NA,"709398793897119744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","justcallmeinday",0,FALSE,FALSE,NA,NA
"2","no more #cow's #milk. #UPLB #DairyHusbandry. taken 12 apr 2014; posted 14 mar 2016. #LosBaños #Laguna #itsmorefunin… https://t.co/H39nYThmo7",FALSE,0,NA,2016-03-14 15:17:30,FALSE,NA,"709398051216105472",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","DrGaai",0,FALSE,FALSE,NA,NA
"3","#tb #UPLB https://t.co/bANvft5u03",FALSE,0,NA,2016-03-14 14:43:40,FALSE,NA,"709389540083892225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","inseeeeeyn",0,FALSE,FALSE,NA,NA
"4","I don't have time for incoherently phrased, stupid questions specially from one whose education I am paying for. #UPLB",FALSE,0,NA,2016-03-14 14:18:38,FALSE,NA,"709383238804844544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ninabellatrix1",0,FALSE,FALSE,NA,NA
"5","@raggster yung reporter na nagdefend Kay Manny dati. He made a statement na naman ngayon another round ang pag bully sa bata. #UPLB",FALSE,0,"raggster",2016-03-14 14:15:11,FALSE,"709380026903302144","709382368650375169","40494681","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","missjover",0,FALSE,FALSE,NA,NA
"6","strength in numbers is only for barbaric wars not for social media wars, dat strength in mind power haha #UPLB",FALSE,0,NA,2016-03-14 14:06:53,FALSE,NA,"709380280973287430",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeMadScientist",0,FALSE,FALSE,NA,NA
"7","""Bastos lang jud ka tawhana ka!! #UPLB #Student #Bastos"" ah ganyanan na diay",FALSE,0,NA,2016-03-14 13:55:48,FALSE,NA,"709377494722347009",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","byangtan",0,FALSE,FALSE,NA,NA
"8","Nakisawsaw pa si IRA Panganiban sa isyu ni Stephen Villena. Ngayon another round of bashing na naman ang nararanasan ng bata. #UPLB",FALSE,1,NA,2016-03-14 13:51:40,FALSE,NA,"709376453545037824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","missjover",1,FALSE,FALSE,NA,NA
"9","#UPLB blockbakan wuhooo https://t.co/eIPnB1xfj5",FALSE,2,NA,2016-03-14 12:46:38,FALSE,NA,"709360086712320001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ijoshuant_you",0,FALSE,FALSE,NA,NA
"10","MAKITID ANG UTAK NI #UPLB MAN",FALSE,2,NA,2016-03-14 12:07:49,FALSE,NA,"709350319793176576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Facunbryan",0,FALSE,FALSE,NA,NA
