"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#ayokongmagmahal ang tuition fee <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/et6BbfjFbV",FALSE,0,NA,2016-03-02 08:03:39,FALSE,NA,"704940215002128384",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","francezlynn",0,FALSE,FALSE,NA,NA
"2","@ssaamantha__ para cute jk hahahaha. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> ang inet sa diliman e :( #budgetcut #ayokongmagmahal",FALSE,3,"ssaamantha__",2016-03-01 12:33:13,FALSE,"704623159866044416","704645669391237121","109476252","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dancingcookie19",0,FALSE,FALSE,NA,NA
"3","#ayokongmagmahal <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>",FALSE,2,NA,2016-02-25 12:26:48,FALSE,NA,"702832113414852608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VinisaParilla",0,FALSE,FALSE,NA,NA
"4","@VinisaParilla walk out oy! #ayokongmagmahal",FALSE,1,"VinisaParilla",2016-02-25 12:22:51,FALSE,"702829357824249857","702831117854879747","141135164","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lawrence_ng_",0,FALSE,FALSE,NA,NA
"5","When Jollibee himself is done with commercialized education and student repression #AyokongMagmahal https://t.co/0CquWv652d",FALSE,8,NA,2016-02-24 16:41:38,FALSE,NA,"702533855840894976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rennardmarquez",2,FALSE,FALSE,NA,NA
"6","Strong! #Rise4Education #AyokongMagmahal #WalkOutLikeThis <U+270A>",FALSE,0,NA,2016-02-24 16:17:17,FALSE,NA,"702527730286366720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lithlstar",0,FALSE,FALSE,NA,NA
"7","Tapusin na ang Valentines ng Tuition and Other School Fees. #AyokongMagmahal

P.S. Kikilos na po… https://t.co/7tJKCaHFEq",FALSE,0,NA,2016-02-24 15:22:33,FALSE,NA,"702513953616703488",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","imahumanecho",0,FALSE,FALSE,NA,NA
"8","I posted 24 photos on Facebook in the album ""#AyokongMagmahal Walkout Protest 2-24-16"" https://t.co/VcQr0VPdia",FALSE,0,NA,2016-02-24 14:49:23,FALSE,NA,"702505609409613824",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"9","Earlier today, the UPLB community participated in the #AyokongMagmahal Walkout Protest. Read https://t.co/BtSj9mFccw https://t.co/ExJQrmCBdb",FALSE,3,NA,2016-02-24 14:29:11,FALSE,NA,"702500523975421952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"10","Earlier today, the UPLB community participates in the #AyokongMagmahal Walkout protest

Read full story here:... https://t.co/7Fy2t1UJfx",FALSE,4,NA,2016-02-24 14:25:25,FALSE,NA,"702499575475494914",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","uplbperspective",3,FALSE,FALSE,NA,NA
