"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","gay president(?) kopiko duterte uplb student bagong mang kanor...

yehey for my country",FALSE,0,NA,2016-03-14 15:26:03,FALSE,NA,"709400204735188992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tellexcope",0,FALSE,FALSE,NA,NA
"2","UPLB vs Duterte fans *grace poe laugh*",FALSE,0,NA,2016-03-14 15:24:05,FALSE,NA,"709399709937475584",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KafosoMo",0,FALSE,FALSE,NA,NA
"3","Tataasan din ni Duterte ang sahod ng mga guro kung siya ang magiging pangulo #WatchingFullQuestionAnswer #UPLB",FALSE,0,NA,2016-03-14 15:22:22,FALSE,NA,"709399276967727105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","justcallmeinday",0,FALSE,FALSE,NA,NA
"4","UPLB Supporters of Duterte will not choose Duterte anymore because of Offensive Duterte Supporters against UPLB? Sino ba binoboto niyo?",FALSE,0,NA,2016-03-14 15:20:32,FALSE,NA,"709398815493595136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Zhabby",0,FALSE,FALSE,NA,NA
"5","Malaki daw ang funding na ibibigay sa education sector ni Duterte kung sakaling magiging presidente siya. #WatchingFullQuestionAnswer #UPLB",FALSE,0,NA,2016-03-14 15:20:27,FALSE,NA,"709398793897119744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","justcallmeinday",0,FALSE,FALSE,NA,NA
"6","Sa issue ngayon tungkol kay Duterte and UPLB, naalala ko yung nangyari nung ME Board Exam namin.",FALSE,0,NA,2016-03-14 14:58:27,FALSE,NA,"709393258456031232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chara_las",0,FALSE,FALSE,NA,NA
"7","*binay roasted by uplb students* 
netizens: nice uplb! deserved nya yun!
*binastos daw si duterte* 
netizens: """"""""yabang up""""""""",FALSE,0,NA,2016-03-14 14:56:11,FALSE,NA,"709392687191838720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","supericawaii",0,FALSE,FALSE,NA,NA
"8","Tone...delivery..choice of word...the way this student  convey his question is not academic...HIS MOTIVES IS... https://t.co/HGaqEqL2t1",FALSE,0,NA,2016-03-14 14:53:02,FALSE,NA,"709391895617626112",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ndumaguit",0,FALSE,FALSE,NA,NA
"9","Duterte: Some questions at UPLB forum were 'a bit silly':https://t.co/KDMTFUNxpK via @ABSCBNNews",FALSE,0,NA,2016-03-14 14:51:13,FALSE,NA,"709391437465387009",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rialanearriza",0,FALSE,FALSE,NA,NA
"10","From...stephen villena
( sya po un student from UPLB n nag tanong kay mayor Duterte) let us read nman un side nun... https://t.co/oA4Tjutyid",FALSE,0,NA,2016-03-14 14:47:38,FALSE,NA,"709390538282295296",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","hindiakobanko",0,FALSE,FALSE,NA,NA
