"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Hahahaha.. Mga alipures.. Ito na ang hinahanap ninyo.. Ang. Tunay na bakla na naging matandang Manyakis.!! !... https://t.co/4BbVoyLAsS",FALSE,0,NA,2016-03-14 15:21:09,FALSE,NA,"709398970275995648",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","cebuanoblog",0,FALSE,FALSE,NA,NA
"2","Hala sige @Kuya_duterte .Pasikatin si Ryan Yap. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,1,NA,2016-03-14 15:21:06,FALSE,NA,"709398960171933696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EntriiMedrano",0,FALSE,FALSE,"121.0007642","13.7828438"
"3","#Duterte #DU30 <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/8eZ4SlRHL2",FALSE,0,NA,2016-03-14 15:21:01,FALSE,NA,"709398937522741249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ciryle27",0,FALSE,FALSE,NA,NA
"4","Duterte not slighted by UP student’s questioning https://t.co/ltYCQ9078K",FALSE,0,NA,2016-03-14 15:20:47,FALSE,NA,"709398880572432384",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","cheskamarya",0,FALSE,FALSE,NA,NA
"5","UPLB Supporters of Duterte will not choose Duterte anymore because of Offensive Duterte Supporters against UPLB? Sino ba binoboto niyo?",FALSE,0,NA,2016-03-14 15:20:32,FALSE,NA,"709398815493595136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Zhabby",0,FALSE,FALSE,NA,NA
"6","Malaki daw ang funding na ibibigay sa education sector ni Duterte kung sakaling magiging presidente siya. #WatchingFullQuestionAnswer #UPLB",FALSE,0,NA,2016-03-14 15:20:27,FALSE,NA,"709398793897119744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","justcallmeinday",0,FALSE,FALSE,NA,NA
"7","Si Duterte lang yung di nangangampanya pero ang laki ng possibility na manalo. Duterte for the win.",FALSE,2,NA,2016-03-14 15:20:13,FALSE,NA,"709398737966116865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kirstenrei_",1,FALSE,FALSE,NA,NA
"8","Student who asked #Duterte my sense pero d mu na delivered ng maayos.",FALSE,0,NA,2016-03-14 15:19:59,FALSE,NA,"709398677853310977",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gellaylovely",0,FALSE,FALSE,NA,NA
"9","@ABSCBNNews # I don't like Duterte federalism ideology , crime fighter - yes",FALSE,0,"ABSCBNNews",2016-03-14 15:19:59,FALSE,"709397699162824705","709398676712456194","15872418","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JOHNNY_B15000",0,FALSE,FALSE,NA,NA
"10","of course we all still know that duterte mostly capitalizes on our collective anguish, sabay kabig ng ""guys wag tayong ganyan""",FALSE,0,NA,2016-03-14 15:19:55,FALSE,NA,"709398662506385411",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","supericawaii",0,FALSE,FALSE,NA,NA
