"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Hay. Basic na tinuturo sa ROTC at CAT ang chain of command iho. Or at least sa sibika. Sikat ka na tuloy.  #DuterteVisitsUPLB",FALSE,0,NA,2016-03-13 03:22:36,FALSE,NA,"708855752836796416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AisaDC",0,FALSE,FALSE,NA,NA
"2","Got a nearer glance on him while we're walking home. #DuterteVisitsUPLB.",FALSE,0,NA,2016-03-13 03:20:01,FALSE,NA,"708855103537590272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","melodyefg",0,FALSE,FALSE,NA,NA
"3","Duterte visit UPLB#PHVoteDuterte #DuterteVisitsUPLB https://t.co/ZZGwFXM6bd",FALSE,0,NA,2016-03-13 03:19:43,FALSE,NA,"708855027427708928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NheneRosalie",0,FALSE,FALSE,NA,NA
"4","From @rapplerdotcom: #DuterteVisitsUPLB https://t.co/g76uGHiQXx",FALSE,24,NA,2016-03-13 03:18:35,FALSE,NA,"708854745016872961",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RonaldGem",4,FALSE,FALSE,NA,NA
"5","matuto kang makinig at umintindi. Hindi ung kung ano ang gusto mong sagot, un lang ang ipupush mo.Bakit ka pa nagtanong? #DuterteVisitsUPLB",FALSE,0,NA,2016-03-13 02:53:19,FALSE,NA,"708848386661683201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mayge28",0,FALSE,FALSE,NA,NA
"6","#DuterteVisitsUPLB #UniversityngPambabastos #TheEducatedBecomesDumb #PHVoteDuterte #PHVoteDuterteCayetano #DuterteCayetano",FALSE,4,NA,2016-03-13 02:09:18,FALSE,NA,"708837308330594304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mafefouloz",2,FALSE,FALSE,NA,NA
"7","#DuterteVisitsUPLB
#PHVoteDuterte https://t.co/P76GKsXNIa",FALSE,0,NA,2016-03-13 01:43:32,FALSE,NA,"708830824049872896",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","paul_rpaul",0,FALSE,FALSE,NA,NA
"8","FULL SPEECH: Rodrigo Duterte at UP Los Baños, 11 March 2016 https://t.co/END3nw9ogd via @YouTube

#DuterteVisitsUPLB
#PHVoteDuterte",FALSE,0,NA,2016-03-13 01:42:51,FALSE,NA,"708830650363609089",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TigerbasRichard",0,FALSE,FALSE,NA,NA
"9","And hugot-lines-like-MDS moments. Haters gonna hate. Lol. What's up w/ the redundant questions? #DuterteVisitsUPLB <ed><U+00A0><U+00BD><ed><U+00B9><U+0084> https://t.co/MHgfU43qtU",FALSE,1,NA,2016-03-13 01:37:01,FALSE,NA,"708829182646681600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iAmJygs",1,FALSE,FALSE,NA,NA
"10","Sobrang nonsense na ng mga comments about sa #DuterteVisitsUPLB magresearch muna bago magcomment please",FALSE,3,NA,2016-03-13 01:32:54,FALSE,NA,"708828149681786880",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","itsdanicabeybe",0,FALSE,FALSE,NA,NA
"11","#Duterte kept his cool and spoke from experience. #DuterteVisitsUPLB PHVoteDuterte https://t.co/FFKbIJPYOh",FALSE,1,NA,2016-03-13 01:16:50,FALSE,NA,"708824106460811265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gvqtiu",0,FALSE,FALSE,NA,NA
