"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","7 Days na lang. #PiliPinas2016 Debates na naman!!!",FALSE,0,NA,2016-03-12 17:07:39,FALSE,NA,"708700996197744640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kumeresign",0,FALSE,FALSE,NA,NA
"2","@du30movement All out support! Para sa icon! #PHVoteDuterte #PiliPinas2016",FALSE,0,"du30movement",2016-03-12 16:57:57,FALSE,"707499891837120512","708698557599977473","4748200908","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngkelRodyD30",0,FALSE,FALSE,NA,NA
"3","Excited with the 2nd presidential debate! #PiliPinas2016",FALSE,0,NA,2016-03-12 16:27:18,FALSE,NA,"708690844644147200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","julidynbernido",0,FALSE,FALSE,NA,NA
"4","#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/61fakG6Kk5",FALSE,1,NA,2016-03-12 15:57:42,FALSE,NA,"708683395367182336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4everlikearose",0,FALSE,FALSE,NA,NA
"5","#PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/exOLpH21Il",FALSE,1,NA,2016-03-12 15:51:41,FALSE,NA,"708681879898075136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4everlikearose",0,FALSE,FALSE,NA,NA
"6","#PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/lkP0u6TXJa",FALSE,3,NA,2016-03-12 15:44:29,FALSE,NA,"708680069724504064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4everlikearose",1,FALSE,FALSE,NA,NA
"7","#PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/FFdmQ7D1o4",FALSE,2,NA,2016-03-12 15:43:22,FALSE,NA,"708679785858207744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4everlikearose",0,FALSE,FALSE,NA,NA
"8","#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/Q2LZpEkOPw",FALSE,2,NA,2016-03-12 15:35:33,FALSE,NA,"708677818415099905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4everlikearose",0,FALSE,FALSE,NA,NA
"9","No need for dictators pretending to be our saviors. #RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016 #LabanLeni  https://t.co/3dWfI2Xzhh",FALSE,3,NA,2016-03-12 15:33:35,FALSE,NA,"708677323554291712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4everlikearose",1,FALSE,FALSE,NA,NA
"10","#RoxasRobredo #PiliPinas2016 #PiliPinas #Halalan2016  #MaayosAksyonReporma #LabanLeni  https://t.co/nWTlvOQY1o",FALSE,3,NA,2016-03-12 15:28:07,FALSE,NA,"708675947759677440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4everlikearose",2,FALSE,FALSE,NA,NA
