"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @PUNYETALIFICENT: Burn, Binay, Burn! Literal #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:46:15,FALSE,NA,"705283127531302912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nicolanjia",214,TRUE,FALSE,NA,NA
"2","RT @bernardokath: Goodluck kuya mar! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinasDebates2016 #MarWithAPlan https://t.co/IhwF9xMHU2",FALSE,0,NA,2016-03-03 06:45:43,FALSE,NA,"705282990071480320",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","vilymeeel_",3431,TRUE,FALSE,NA,NA
"3","RT @AdvisableTweets: RETWEET if you agree!My classmates be like:#PiliPinasDebates2016 https://t.co/GPTiwignG0",FALSE,0,NA,2016-03-03 06:42:40,FALSE,NA,"705282225483329536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pretty316Joy",660,TRUE,FALSE,NA,NA
"4","RT @AdvisableTweets: TOP 3 PRESIDENT NA DESERVE TUMAKBO1. Santiago2. Duterte3. Poe#PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:42:39,FALSE,NA,"705282219418341376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pretty316Joy",264,TRUE,FALSE,NA,NA
"5","RT @BilangPilipino: Sino ang Presidente mo? Catch the 2nd #PiliPinasDebates2016 @TV5manila sa March 20 Sunday.#BilangPilipino #PiliPinas ht…",FALSE,0,NA,2016-03-03 06:42:34,FALSE,NA,"705282200254590976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","arponallan5",7,TRUE,FALSE,NA,NA
"6","RT @thereallmarian: MURANG PAUTANG? DAHIL MURA ANG PAUTANG, UTANG NA LANG NG UTANG. SO SA DULO. HUSTISYA!
#PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:41:46,FALSE,NA,"705281997816500225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pinedaErika_lei",2,TRUE,FALSE,NA,NA
"7","RT @BilangPilipino: Sino ang Presidente mo? Catch the 2nd #PiliPinasDebates2016 @TV5manila sa March 20 Sunday.#BilangPilipino #PiliPinas ht…",FALSE,0,NA,2016-03-03 06:40:27,FALSE,NA,"705281668374876160",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","News5E",7,TRUE,FALSE,NA,NA
"8","RT @Senyora: ITO NA TALAGA!!! 'Wag n'yo kalimutan bukas ang #PiliPinasDebates2016 live sa GMA! 5pm! Nag confirm sila lahat! https://t.co/HH…",FALSE,0,NA,2016-03-03 06:35:51,FALSE,NA,"705280508385763329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chrlsmxx",1352,TRUE,FALSE,NA,NA
"9","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:31:47,FALSE,NA,"705279483796828160",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","vilymeeel_",3202,TRUE,FALSE,NA,NA
"10","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:30:50,FALSE,NA,"705279246546022400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","joice020",3202,TRUE,FALSE,NA,NA
"11","RT @BilangPilipino: Ano ang gusto mong itanong sa susunod na #PiliPinasDebates2016? Gamitin ang hashtag na #BilangPilipino! https://t.co/MX…",FALSE,0,NA,2016-03-03 06:30:39,FALSE,NA,"705279198508638208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tard_kathniel",107,TRUE,FALSE,NA,NA
"12","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:29:08,FALSE,NA,"705278820782202880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xxxRosellxxx",3202,TRUE,FALSE,NA,NA
"13","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:19:55,FALSE,NA,"705276498668756992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oharrylicious",3202,TRUE,FALSE,NA,NA
"14","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:19:51,FALSE,NA,"705276483795709953",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","isshnielchandr",3202,TRUE,FALSE,NA,NA
"15","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:19:44,FALSE,NA,"705276453709963264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ValleCrishlyn",3202,TRUE,FALSE,NA,NA
"16","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:16:49,FALSE,NA,"705275718297464833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Omgitsczanelle",3202,TRUE,FALSE,NA,NA
"17","RT @bernardokath: Goodluck kuya mar! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinasDebates2016 #MarWithAPlan https://t.co/IhwF9xMHU2",FALSE,0,NA,2016-03-03 06:15:10,FALSE,NA,"705275303011024896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeremae123456",3431,TRUE,FALSE,NA,NA
"18","RT @bernardokath: Goodluck kuya mar! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinasDebates2016 #MarWithAPlan https://t.co/IhwF9xMHU2",FALSE,0,NA,2016-03-03 06:14:44,FALSE,NA,"705275193636233216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CLASSYgwenx",3431,TRUE,FALSE,NA,NA
"19","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:13:45,FALSE,NA,"705274946247786496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeremae123456",3202,TRUE,FALSE,NA,NA
"20","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 06:13:34,FALSE,NA,"705274899548340224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CLASSYgwenx",3202,TRUE,FALSE,NA,NA
"21","Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,1,NA,2016-03-03 06:12:55,FALSE,NA,"705274737711120384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_jujubebe",0,FALSE,FALSE,NA,NA
"22","RT @BilangPilipino: Ano ang gusto mong itanong sa susunod na #PiliPinasDebates2016? Gamitin ang hashtag na #BilangPilipino! https://t.co/MX…",FALSE,0,NA,2016-03-03 06:04:14,FALSE,NA,"705272552160006145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amilatencio01",107,TRUE,FALSE,NA,NA
"23","RT @kimpoyfeliciano: Si Binay puro Makati! Yan lang ba nagawa mo bilang Vice President? Sana nag Mayor ka nalang talaga! #PiliPinasDebates2…",FALSE,0,NA,2016-03-03 06:02:27,FALSE,NA,"705272105458241536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","macedakath",1048,TRUE,FALSE,NA,NA
"24","RT @BilangPilipino: Ano ang gusto mong itanong sa susunod na #PiliPinasDebates2016? Gamitin ang hashtag na #BilangPilipino! https://t.co/MX…",FALSE,0,NA,2016-03-03 06:00:53,FALSE,NA,"705271709675327489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RaysoLkings",107,TRUE,FALSE,NA,NA
"25","RT @BilangPilipino: Ano ang gusto mong itanong sa susunod na #PiliPinasDebates2016? Gamitin ang hashtag na #BilangPilipino! https://t.co/MX…",FALSE,0,NA,2016-03-03 05:58:42,FALSE,NA,"705271161836310528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CasinoChristie",107,TRUE,FALSE,NA,NA
