"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","‘She was a foreigner here as balikbayan’ | https://t.co/uwimFV74Px #PHVote#PiliPinasDebates2016 https://t.co/gYEehEdhdf",FALSE,0,NA,2016-03-12 17:22:32,FALSE,NA,"708704743950954497",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"2","No room for doubt on Poe | https://t.co/KUGvoP0RXq #PHVote#PiliPinasDebates2016 https://t.co/iCP18GhSCL",FALSE,0,NA,2016-03-12 17:07:28,FALSE,NA,"708700951813562368",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"3","Cainta to fete heroic biker, traffic aide | https://t.co/2XquKEKU4Y #PHVote#PiliPinasDebates2016 https://t.co/phgyhCJRs6",FALSE,0,NA,2016-03-12 16:52:23,FALSE,NA,"708697156039757826",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"4","4 ‘NBI agents’ nabbed after Navotas trader cries extortion | https://t.co/6UkM6Cb6WQ #PHVote#PiliPinasDebates2016 https://t.co/QoOr69X1Vp",FALSE,0,NA,2016-03-12 16:37:19,FALSE,NA,"708693363118120960",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"5","Ulama lead 5,000 in Marawi rally vs extremists, terrorism | https://t.co/Nm9USsIok4 #PHVote#PiliPinasDebates2016 https://t.co/XEBAKG6WLN",FALSE,0,NA,2016-03-12 16:22:14,FALSE,NA,"708689569911156736",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"6","State of calamity declared in Guimaras | https://t.co/AztNubXKH7 #PHVote#PiliPinasDebates2016 https://t.co/QsvTyKoBur",FALSE,0,NA,2016-03-12 16:07:10,FALSE,NA,"708685778369400834",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"7","Drought spells death in Maguindanao | https://t.co/W6XGo23RAD #PHVote#PiliPinasDebates2016 https://t.co/BkABVJ4l0d",FALSE,0,NA,2016-03-12 15:52:06,FALSE,NA,"708681983442817025",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"8","Panoorin ang ikalawang #PiliPinasDebates2016, March 20, 2016, sa @TV5manila! #BilangPilipino https://t.co/ZWc5HmLE5b",FALSE,0,NA,2016-03-12 15:16:25,FALSE,NA,"708673005543526400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PHINews1",0,FALSE,FALSE,NA,NA
"9","watched again the #PilipinasDebates2016 at ch. 4 swear! Iba talaga ang Miriam Spirit! <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #Miriam2016",FALSE,0,NA,2016-03-12 14:58:16,FALSE,NA,"708668438076481536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gewaaaard",0,FALSE,FALSE,NA,NA
"10","Poe ruling could undermine national security   | https://t.co/lR5EtqQcuT #PHVote#PiliPinasDebates2016 https://t.co/Y8Mn70pWX9",FALSE,0,NA,2016-03-12 14:21:46,FALSE,NA,"708659252068360192",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"11","PWEDE PO BANG LESS COMMERCIALS PLS? #PiliPinasDebates2016  https://t.co/uItEXvr3Mf",FALSE,0,NA,2016-03-12 13:42:53,FALSE,NA,"708649466195120130",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anniieecolle",0,FALSE,FALSE,NA,NA
"12","Round 2 of #PiliPinasDebates2016 in 8 days. #ALDUBPaandarNiDudang",FALSE,2,NA,2016-03-12 13:30:02,FALSE,NA,"708646233699553281",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","bhrixarabitako1",2,FALSE,FALSE,NA,NA
"13","Gas and diesel prices expected to rise P1 to P1.50 next week | https://t.co/LPCxtcBJNy #PHVote#PiliPinasDebates2016 https://t.co/KRF9s3TL52",FALSE,0,NA,2016-03-12 12:21:20,FALSE,NA,"708628942920425473",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"14","AFP rejects ransom talks with Abu Sayyaf hostage-takers | https://t.co/0FH2BFS3rI #PHVote#PiliPinasDebates2016 https://t.co/u810cpj6l7",FALSE,0,NA,2016-03-12 11:51:11,FALSE,NA,"708621354661117952",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"15","It's going to be ONE HOUR LONGER!

#PiliPinasDebates2016… https://t.co/Eg553EqsuG",FALSE,0,NA,2016-03-12 11:46:20,FALSE,NA,"708620136127848448",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","koizumi168",0,FALSE,FALSE,NA,NA
"16","DESPERADO NA SILA! #GODBLESSYOUDIGONG #dutertealltheway

https://t.co/2Fxea1v3Lm

#PhVoteDuterte
#pilipinasdebate2016
#PILIPINASDEBATES2016",FALSE,1,NA,2016-03-12 11:24:08,FALSE,NA,"708614547658027008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","duterte007",0,FALSE,FALSE,NA,NA
"17","27 students treated for food poisoning in Cagayan | https://t.co/BhCvdMCvWO #PHVote#PiliPinasDebates2016 https://t.co/RAdSlu2sRo",FALSE,0,NA,2016-03-12 11:21:00,FALSE,NA,"708613760060010497",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"18","Binay camp twits Aquino over 2010 win: Respect people’s will | https://t.co/Ccrzgoq3XQ #PHVote#PiliPinasDebates2016 https://t.co/OzxTTbQsCy",FALSE,0,NA,2016-03-12 10:50:51,FALSE,NA,"708606173902049282",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"19","Malacañang calls for calm over Abu Sayyaf ransom deadline | https://t.co/0CkQriIr1Y #PHVote#PiliPinasDebates2016 https://t.co/cx5oztbfdd",FALSE,0,NA,2016-03-12 10:35:44,FALSE,NA,"708602367961223168",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"20","SC justices explain votes on Grace Poe DQ case | https://t.co/OdjyUxdQQ4 #PHVote#PiliPinasDebates2016 https://t.co/E2UDV31QQV",FALSE,0,NA,2016-03-12 10:05:36,FALSE,NA,"708594785204875265",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"21","Escudero also wished for Aquino’s endorsement, says Palace | https://t.co/9iXXauE01u #PHVote#PiliPinasDebates2016 https://t.co/pYMcGmDtwF",FALSE,0,NA,2016-03-12 09:50:28,FALSE,NA,"708590976877469697",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"22","Syjuco asks SC to allow voters to keep ballot receipts   | https://t.co/EQqE6Zp0kl #PHVote#PiliPinasDebates2016 https://t.co/gsVvjITWl9",FALSE,0,NA,2016-03-12 09:35:24,FALSE,NA,"708587185474109440",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"23","'Maghiram ako ng pera kagaya kay Marcos.'  - Duterte

https://t.co/gryiEMNHw9

#pilipinas #pilipinasdebates2016 https://t.co/jYL57iVq1u",FALSE,1,NA,2016-03-12 09:31:42,FALSE,NA,"708586255227813888",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","xpeanutgalleryx",2,FALSE,FALSE,NA,NA
"24","Tatad to ask SC to make ‘proper decision’ on Grace Poe case | https://t.co/2zPXofDS9L #PHVote#PiliPinasDebates2016 https://t.co/FLMKXKiFWh",FALSE,0,NA,2016-03-12 08:50:10,FALSE,NA,"708575801910767616",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"25","Visayas leg ng #PiliPinasDebates2016, pinalawig ng isang oras. #SuperBalitaSaHaponHeadlines",FALSE,3,NA,2016-03-12 08:39:53,FALSE,NA,"708573214058754048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dzbb",0,FALSE,FALSE,NA,NA
"26","Cayetano: Corruption hurting PH tourism | https://t.co/pmtZxn7OsQ #PHVote#PiliPinasDebates2016 https://t.co/hhc0Xj6ODk",FALSE,0,NA,2016-03-12 08:35:05,FALSE,NA,"708572007407849473",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"27","KUDOS to these young blood journos... !
#PiliPinasDebates2016 #Halalan2016 #BilangPilipino #LabanLeni #RoxasRobredo  https://t.co/PYK5B5O8hL",FALSE,2,NA,2016-03-12 08:24:28,FALSE,NA,"708569333446750208",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ardiedawal",0,FALSE,FALSE,NA,NA
"28","Palace mum on Abu Sayaff threat to behead 3 foreign hostages | https://t.co/XiIUJGNNe9 #PHVote#PiliPinasDebates2016 https://t.co/cvr2uhXhQI",FALSE,0,NA,2016-03-12 08:20:01,FALSE,NA,"708568214104485889",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"29","Duterte not a dictator, won’t declare martial law, says son | https://t.co/nrYjWPdUdD #PHVote#PiliPinasDebates2016 https://t.co/kN7J8ZKMdH",FALSE,0,NA,2016-03-12 07:34:54,FALSE,NA,"708556858697515008",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"30","Salonga, the greatest president we never had — Palace exec   | https://t.co/RTzDQ2YbR6 #PHVote#PiliPinasDebates2016 https://t.co/O5quIO90Q4",FALSE,0,NA,2016-03-12 07:04:45,FALSE,NA,"708549273256759298",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"31","5 years after the spark, Syria war at a critical juncture | https://t.co/prPmyzUrhW #PHVote#PiliPinasDebates2016 https://t.co/eJMjvqMPth",FALSE,0,NA,2016-03-12 06:19:32,FALSE,NA,"708537892843335680",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"32","Absolutely #NoToBINAY .@TV5manila let d Filipinos see d real Binay.enough of scripted answers #PiliPinasDebates2016  https://t.co/gyG2o7UHRU",FALSE,0,NA,2016-03-12 06:03:46,FALSE,NA,"708533927191818240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deeglobetrotter",0,FALSE,FALSE,NA,NA
"33","Suspected drug pusher killed in Bohol buy-bust | https://t.co/KPyx3jty5F #PHVote#PiliPinasDebates2016 https://t.co/MlOWCfSm8b",FALSE,0,NA,2016-03-12 05:49:27,FALSE,NA,"708530323546505216",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"34","5.2-magnitude quake jolts northern PH | https://t.co/L9btm9TSGa #PHVote#PiliPinasDebates2016 https://t.co/9SkvGikpBj",FALSE,0,NA,2016-03-12 05:34:23,FALSE,NA,"708526529219670017",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
"35","N. Korean submarine missing—reports | https://t.co/p60XrG3c0i #PHVote#PiliPinasDebates2016 https://t.co/DpWhtfCS7w",FALSE,0,NA,2016-03-12 04:49:13,FALSE,NA,"708515165071740928",NA,"<a href=""http://theusefulapps.com"" rel=""nofollow"">PHNews 24x7</a>","phnews24x7",0,FALSE,FALSE,NA,NA
