"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","STEPHEN VILLENA, raised by his cursed family!",FALSE,0,NA,2016-03-13 07:53:41,FALSE,NA,"708923973644328961",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pett5875",0,FALSE,FALSE,NA,NA
"2","Stephen Villena! Kainis kang bata ka. Hahaha. Tapang mo boy, di porket UP ka magaling ka na.",FALSE,1,NA,2016-03-13 07:52:48,FALSE,NA,"708923753757999104",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","polypollens",2,FALSE,FALSE,NA,NA
"3","Sa inasal mo kahapon kay Mayor kakahiya. Naturingan pang eskolar ng bayan! Stephen Villena tsk tsk",FALSE,0,NA,2016-03-13 07:52:35,FALSE,NA,"708923698183430144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ashee0315",0,FALSE,FALSE,NA,NA
"4","@Ideal_Views yung kasama po ni Ms. Aika Robredo  sa photo ay HINDI po si Stephen Villena https://t.co/AYINlaBbGr",FALSE,0,"Ideal_Views",2016-03-13 07:52:03,FALSE,"708921728165126144","708923563126829056","116141817","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","reginaalvero",0,FALSE,FALSE,NA,NA
"5","Makapagsalita 'tong Stephen Villena shit na to kala mo naman namuno na at may nagawa. Katulad mo lang naman yun pambato mo na puro salita <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>",FALSE,0,NA,2016-03-13 07:51:12,FALSE,NA,"708923351742320640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TineVillas",0,FALSE,FALSE,NA,NA
"6","Stephen Villena lul",FALSE,0,NA,2016-03-13 07:50:50,FALSE,NA,"708923259958394880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","flymeto_seoul",0,FALSE,FALSE,NA,NA
"7","Hala trending ang UPLB at Stephen Villena <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>",FALSE,2,NA,2016-03-13 07:50:10,FALSE,NA,"708923090755919873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beorvb",0,FALSE,FALSE,NA,NA
"8","Ang pangit na ng name ng UPLB dahil dyan kay Stephen Villena. Hays",FALSE,0,NA,2016-03-13 07:50:09,FALSE,NA,"708923085454315520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ItsSamGonzaga",0,FALSE,FALSE,NA,NA
"9","Haha trending ka pla Stephen Villena. Proud ka ba?",FALSE,0,NA,2016-03-13 07:50:03,FALSE,NA,"708923060259164160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ashee0315",0,FALSE,FALSE,NA,NA
"10","@romensw Actually, may sense naman talaga ang tanong ni Stephen Villena kah Duterte.",FALSE,0,"romensw",2016-03-13 07:49:40,FALSE,"708920840880979968","708922962921934849","305423229","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","romensw",0,FALSE,FALSE,NA,NA
"11","I.Firing squad na yan.Stephen Villena",FALSE,1,NA,2016-03-13 07:48:57,FALSE,NA,"708922785439944706",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chelleannrose",0,FALSE,FALSE,NA,NA
"12","Biglang nagdeactive si stephen villena hahahaha",FALSE,1,NA,2016-03-13 07:48:39,FALSE,NA,"708922709736960000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jmprams",0,FALSE,FALSE,NA,NA
"13","Nagtrending na. Stephen Villena",FALSE,0,NA,2016-03-13 07:48:38,FALSE,NA,"708922705718808578",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DamaDamn",0,FALSE,FALSE,NA,NA
"14","Grabe yung ibang nagbabash kay Stephen Villena, napaka-below the belt niyo na. Nung si Binay binastos, okay lang sa inyo?! WOW IBA RIN HA",FALSE,4,NA,2016-03-13 07:48:21,FALSE,NA,"708922631290880000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","irsondoria",1,FALSE,FALSE,NA,NA
"15","Stephen Villena, I dont mind you not voting for Mayor but atleast give him the respect he deserves!",FALSE,1,NA,2016-03-13 07:48:14,FALSE,NA,"708922603658829824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cozisayso",0,FALSE,FALSE,NA,NA
