"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Work on your manners&amp; humility in evrything u do. #stephenvillena #PHVoteDuterte  https://t.co/ny0Ieg9ZnW",FALSE,0,NA,2016-03-13 07:51:39,FALSE,NA,"708923465181503488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brigsclark",0,FALSE,FALSE,NA,NA
"2","masyado naman kasi na eexcite si kuya sa sagot kaya demand the answer agad #stephenvillena",FALSE,0,NA,2016-03-13 07:26:38,FALSE,NA,"708917166863548417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chikoi",0,FALSE,FALSE,NA,NA
"3","masyadong nagmamagaling wala naman sense yung tanon #stephenvillena 
#uplb
#du30",FALSE,0,NA,2016-03-13 07:21:03,FALSE,NA,"708915761826258944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chikoi",0,FALSE,FALSE,NA,NA
"4","@VillenaStephen gago! People of the Philippines versus #StephenVillena https://t.co/fxwdTBGbCI",FALSE,0,"VillenaStephen",2016-03-13 06:52:55,FALSE,NA,"708908684043137024","367001559","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Porsche_SG",1,FALSE,FALSE,NA,NA
"5","OMG!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>Di ata uso sa UPLB ang salitang pag-galang! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #StephenVillena",FALSE,0,NA,2016-03-13 06:50:33,FALSE,NA,"708908087692763136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PMabolbol",1,FALSE,FALSE,NA,NA
"6","Kids are sometimes cool. But sometimes, pa-cool. #StephenVillena",FALSE,0,NA,2016-03-13 06:07:08,FALSE,NA,"708897160939458560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","whoisTANCHI",0,FALSE,FALSE,NA,NA
"7","WTF?! #stephenvillena

Pasikat lang kuya?

1.If you are to ask something, make sure you wait for the complete... https://t.co/RxiufwGaxq",FALSE,1,NA,2016-03-13 05:48:42,FALSE,NA,"708892523419332608",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","iamprettylily08",0,FALSE,FALSE,NA,NA
"8","StephenVillena yan ba ang pinapag aral sa UP gamit ang taxes na binabayad ko sa govt? Di marunong makinig, bopols ang tanong at napaka RUDE?",FALSE,10,NA,2016-03-13 04:21:57,FALSE,NA,"708870690305277953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaycdelarosa",3,FALSE,FALSE,NA,NA
"9","Kanina nakitkita ko pa acft ni #stephenvillena ng UPLB ah.. Ngaun la na.. Coward mo naman.. #stephenvillenaRUDE",FALSE,2,NA,2016-03-13 02:54:48,FALSE,NA,"708848756616089602",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bingzhie",0,FALSE,FALSE,NA,NA
"10","#StephenVillena Sikat ka na po. Hahahahahaha! Bastusan pa more. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>",FALSE,1,NA,2016-03-13 02:40:23,FALSE,NA,"708845130858401794",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mthyll",0,FALSE,FALSE,NA,NA
