"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#UPLB Timeline and Highlights! https://t.co/6cB4Y4L3Iw",FALSE,6,NA,2016-03-03 06:43:31,FALSE,NA,"705282438298103808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UPLBOfficial",6,FALSE,FALSE,NA,NA
"2","BT Talong and Sinta Papaya are featured in one of the short videos for #UPLB's 107th Foundation Day! https://t.co/SIxybJYcbq",FALSE,0,NA,2016-03-03 06:33:21,FALSE,NA,"705279880087388160",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UPLBResearch",1,FALSE,FALSE,NA,NA
"3","One more day to go before #UPLB's 107th Foundation Day! https://t.co/Alf0u69vtj",FALSE,0,NA,2016-03-03 06:30:02,FALSE,NA,"705279046842781697",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UPLBResearch",0,FALSE,FALSE,NA,NA
"4","#UPLB 107th Foundation Day Trivia Number 11! https://t.co/tqedAPfNOA",FALSE,6,NA,2016-03-03 05:15:19,FALSE,NA,"705260242829836289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UPLBOfficial",4,FALSE,FALSE,NA,NA
"5","One more day til #UPLB's 107th Foundation Day! https://t.co/y4h1zlcw3x",FALSE,0,NA,2016-03-03 03:45:01,FALSE,NA,"705237518015447040",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UPLBOfficial",3,FALSE,FALSE,NA,NA
"6","<ed><U+00A0><U+00BD><ed><U+00B3><U+0091><ed><U+00A0><U+00BD><ed><U+00B3><U+009A> And so it begins. 

#UPLB
#eMBeBeh 
#14UnitsPa
#Bidabida
#MBB201
#MBB211… https://t.co/ppeH7qY8f9",FALSE,0,NA,2016-03-03 02:48:21,FALSE,NA,"705223257503440896",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SeventhSeraph",0,FALSE,FALSE,"121.2406022","14.1628637"
"7","#UPLB 107th Foundation Day Trivia Number 10! https://t.co/ONLOwuuNdB",FALSE,13,NA,2016-03-03 01:11:01,FALSE,NA,"705198763782967296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UPLBOfficial",13,FALSE,FALSE,NA,NA
"8","Toto Madayag, creator of Libreng Komiks, at his table during #Elbikon2016 in #UPLB. Photo by:… https://t.co/IgffLPYfpS",FALSE,0,NA,2016-03-03 00:41:37,FALSE,NA,"705191364607213568",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheAltPH",0,FALSE,FALSE,NA,NA
"9","An artist draws on a piece of paper by his table during #Elbikon2016 at #UPLB. Photo by: Kimmy… https://t.co/4FW0yf7Kq6",FALSE,0,NA,2016-03-03 00:38:48,FALSE,NA,"705190653899251712",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheAltPH",1,FALSE,FALSE,NA,NA
"10","At the table of Rainbow Pages Comics during #Elbikon2016 at #UPLB. Photo by: Kimmy… https://t.co/3UNwV0oqLP",FALSE,0,NA,2016-03-03 00:36:54,FALSE,NA,"705190176021225472",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheAltPH",1,FALSE,FALSE,NA,NA
"11","Get ready for a night of comedy at #UPLB!  https://t.co/Oa1mZ6Ii3b #ComedyManila #standupcomedy #elbi #LB #comedy #Pinoycomedy",FALSE,1,NA,2016-03-02 12:04:12,FALSE,NA,"705000752754786304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheAltPH",0,FALSE,FALSE,NA,NA
"12","#UPLB 107th Foundation Day Trivia Number 11! https://t.co/vyBhofjto6",FALSE,1,NA,2016-03-02 10:00:01,FALSE,NA,"704969501293617153",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UPLBOfficial",0,FALSE,FALSE,NA,NA
"13","Liwanag sa dilim
Tanglaw sa kulimlim
<U+2601>
#UPLB #campusphotowalk #photowalk @ University of the… https://t.co/jOEfxenL8A",FALSE,0,NA,2016-03-02 09:46:40,FALSE,NA,"704966140364247040",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","renzsucaldito",0,FALSE,FALSE,"121.23924373","14.16549601"
"14","Timeline and Highlights: #UPLB as a Graduate University https://t.co/UbvztAP97N",FALSE,3,NA,2016-03-02 09:00:01,FALSE,NA,"704954399978819584",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UPLBOfficial",1,FALSE,FALSE,NA,NA
"15","""Last 27-28 February 2016, #UPLB joined Urban Agriculture 2016 at Trinoma, Quezon City. UPLB showcased various... https://t.co/82WwY3Aq11",FALSE,1,NA,2016-03-02 08:27:28,FALSE,NA,"704946211489452032",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UPLBOfficial",0,FALSE,FALSE,NA,NA
"16","#UPLB https://t.co/T5X4bCdDTO",FALSE,0,NA,2016-03-02 07:59:13,FALSE,NA,"704939100432900096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aeginps7",0,FALSE,FALSE,NA,NA
"17","Congratulations to our #UPLB Outstanding Personnel for 2016! https://t.co/KumDsuGhMP",FALSE,3,NA,2016-03-02 06:29:47,FALSE,NA,"704916596523978754",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UPLBResearch",0,FALSE,FALSE,NA,NA
"18","#UPLB Timeline and Highlights! https://t.co/MyROX5XuDQ",FALSE,0,NA,2016-03-02 05:23:28,FALSE,NA,"704899904032927744",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UPLBOfficial",0,FALSE,FALSE,NA,NA
