"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#UPLB Timeline and Highlights! https://t.co/6cB4Y4L3Iw",FALSE,6,NA,2016-03-03 06:43:31,FALSE,NA,"705282438298103808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UPLBOfficial",6,FALSE,FALSE,NA,NA
"2","Natawa ko sa isang comment na nagkamali din daw sya ng banggit sa UPLB forum na kesyo ""100 million pesos na ang... https://t.co/SqKMQ6tXPF",FALSE,0,NA,2016-03-03 06:36:18,FALSE,NA,"705280623255162884",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","pauljohniee",0,FALSE,FALSE,NA,NA
"3","BT Talong and Sinta Papaya are featured in one of the short videos for #UPLB's 107th Foundation Day! https://t.co/SIxybJYcbq",FALSE,0,NA,2016-03-03 06:33:21,FALSE,NA,"705279880087388160",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UPLBResearch",1,FALSE,FALSE,NA,NA
"4","One more day to go before #UPLB's 107th Foundation Day! https://t.co/Alf0u69vtj",FALSE,0,NA,2016-03-03 06:30:02,FALSE,NA,"705279046842781697",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UPLBResearch",0,FALSE,FALSE,NA,NA
"5","I'm at UPLB Health Service (Infirmary) in Los Baños, Laguna https://t.co/5fj8VZFnIv",FALSE,0,NA,2016-03-03 06:26:18,FALSE,NA,"705278104927924224",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Casketers",0,FALSE,FALSE,"121.23837948","14.16245915"
"6","bibili ako ng UPLB Batch 15 na shirt kasi batch 15 me",FALSE,0,NA,2016-03-03 05:54:01,FALSE,NA,"705269980963573760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Christiahaaaan",0,FALSE,FALSE,NA,NA
"7","@ElleTimeLooow friends (plain) man yan o may malisya ganun paren kalaki ang chance coz you're under one roof called UPLB",FALSE,0,"ElleTimeLooow",2016-03-03 05:44:16,FALSE,"705267235627995136","705267528340099072","82823564","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElleTimeLooow",0,FALSE,FALSE,NA,NA
"8","This photo was taken during the 34th Public Installation of Officers of the UPLB DeMolay Club &amp;… https://t.co/NHbXaDFTpP",FALSE,0,NA,2016-03-03 05:43:36,FALSE,NA,"705267358311522304",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MeisterBats",0,FALSE,FALSE,"121.22723382","14.17809905"
"9","7PM x March 4 x Nihon Koen UPLB
See youuuu! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #DaWho? #YCWildfireUPLB https://t.co/d35DAr3UPl",FALSE,0,NA,2016-03-03 05:25:30,FALSE,NA,"705262803355959296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nayowmiii",0,FALSE,FALSE,NA,NA
"10","Shared from UPLB sa Halalan 2016 FB page. https://t.co/OUbSIMn2VZ",FALSE,0,NA,2016-03-03 05:16:01,FALSE,NA,"705260416734081024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uplbcpaf",0,FALSE,FALSE,NA,NA
"11","#UPLB 107th Foundation Day Trivia Number 11! https://t.co/tqedAPfNOA",FALSE,6,NA,2016-03-03 05:15:19,FALSE,NA,"705260242829836289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UPLBOfficial",4,FALSE,FALSE,NA,NA
"12","I'm really excited to see all the mems again tonight! @AIESEC_UPLB <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>",FALSE,3,NA,2016-03-03 04:53:39,FALSE,NA,"705254789324517378",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WherePablo",0,FALSE,FALSE,NA,NA
"13","I'm at University of the Philippines Los Baños (UPLB) in Los Baños, Laguna https://t.co/PI2vidtuMP",FALSE,0,NA,2016-03-03 04:34:31,FALSE,NA,"705249974901207040",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","aivyalcantara",0,FALSE,FALSE,"121.24137282","14.16495059"
"14","The delegates <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> @room 101 uplb <ed><U+00A0><U+00BD><ed><U+00B8><U+0081> @shalmazora @Cyril_AD27 https://t.co/ooYx9bRKg6",FALSE,0,NA,2016-03-03 04:29:14,FALSE,NA,"705248644266532864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamgiemanalo",0,FALSE,FALSE,NA,NA
"15","@MIGYPABLO dami daw nakagusto sa film mo sa UPLB a",FALSE,0,"BabsMNLOfficial",2016-03-03 04:12:42,FALSE,"705244355255099393","705244484670328833","488439904","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BabsMNLOfficial",0,FALSE,FALSE,NA,NA
"16","Our puppet, Porkchop, is too fab for you. Haha! <ed><U+00A0><U+00BD><ed><U+00B0><U+00B7> @ UPLB CAS Annex 2 https://t.co/PDjlhQ7upV",FALSE,0,NA,2016-03-03 03:56:43,FALSE,NA,"705240462433652737",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","setfiretoDOREEN",0,FALSE,FALSE,NA,NA
"17","@senmiriam Madam please come visit UPLB or Letran-Calamba <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",FALSE,0,"senmiriam",2016-03-03 03:54:24,FALSE,"705239118972739584","705239878292754432","122278704","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SoshiRegine",0,FALSE,FALSE,NA,NA
"18","One more day til #UPLB's 107th Foundation Day! https://t.co/y4h1zlcw3x",FALSE,0,NA,2016-03-03 03:45:01,FALSE,NA,"705237518015447040",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","UPLBOfficial",3,FALSE,FALSE,NA,NA
"19","Haydyuskuuuh~
UPLB PELIKULAB = right choice. Right choice.
<ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BC><ed><U+00BE><U+00AC><ed><U+00A0><U+00BC><ed><U+00BE><U+00A5>",FALSE,3,NA,2016-03-03 03:36:00,FALSE,NA,"705235247869210624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loreinesanluis",0,FALSE,FALSE,NA,NA
