"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","[PHOTO NOT MINE] Si Jollibee, naki-walkout din. No to contractualization daw. Haha char #UPLBWalkout (hart sakbayan) https://t.co/rcPs37Utb8",FALSE,7,NA,2016-02-24 14:47:34,FALSE,NA,"702505149705486336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beorvb",0,FALSE,FALSE,NA,NA
"2","#UPLBWalkout ends with the singing of UP Naming Mahal.",FALSE,4,NA,2016-02-24 08:47:32,FALSE,NA,"702414547139883009",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"3","NNARA-Youth: Magkita-kita tayo mamayang alas-nuwebe para tumulak sa EDSA bilang paggunita sa ika-30 na anibersaryo ng EDSA 1 #UPLBWalkout",FALSE,1,NA,2016-02-24 08:45:00,FALSE,NA,"702413906413756416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"4","Jethro, NNARA Youth: Kahit anong pagpigil ang gawin nila ay 'di nila mapipigilan ang laksa-laksang pagkilos ng kabataan. #UPLBWalkout",FALSE,1,NA,2016-02-24 08:42:49,FALSE,NA,"702413358486659072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"5","Tibak na din si Jollibee!! #UPLBWalkout",FALSE,2,NA,2016-02-24 08:41:37,FALSE,NA,"702413054730969089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heyitskaaaath",0,FALSE,FALSE,NA,NA
"6","SAKBAYAN also urges students to join the 1986 People Power Revolution commemoration at EDSA tomorrow. #UPLBWalkout",FALSE,0,NA,2016-02-24 08:30:22,FALSE,NA,"702410227099017216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",1,FALSE,FALSE,NA,NA
"7","SAKABAYAN: Sa walkout sa March 11 iko-commemorate din natin ang pagkamatay ni Kristel Tejada. #UPLBWalkout",FALSE,0,NA,2016-02-24 08:28:40,FALSE,NA,"702409798965399552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"8","SAKBAYAN: Marapat lamang na magpakilos tayo lalo't ilang buwan na lamang ang natitira sa panunungkulan ni BS Aquino. #UPLBWalkout",FALSE,0,NA,2016-02-24 08:27:14,FALSE,NA,"702409437563195392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"9","wth, activist na rin si Jollibee <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> © #UPLBWalkout https://t.co/BzJwPzmaU0",FALSE,5,NA,2016-02-24 08:24:57,FALSE,NA,"702408860947058689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsyvettefriend",2,FALSE,FALSE,NA,NA
"10","Shaira Cledera, KPL: Hiling ng complainants ng walkout last year na gumawa ng public apology ang mga SC, ipaskil sa buildings. #UPLBWalkout",FALSE,0,NA,2016-02-24 08:20:58,FALSE,NA,"702407860353953793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"11","Umalohokan: Dumalo man o hindi sa walkout na ito, huwag nating hayaan na ang ating pag-aaral ay makasagabal sa ating edukasyon. #UPLBWalkout",FALSE,1,NA,2016-02-24 08:12:29,FALSE,NA,"702405725222522880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",2,FALSE,FALSE,NA,NA
"12","Anakbayan: Ang panawagan po namin para sa mga kabataan ay makisama sa paninindigan, lalo ngayong papalapit na ang eleksyon. #UPLBWalkout",FALSE,3,NA,2016-02-24 08:05:43,FALSE,NA,"702404023631126528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",3,FALSE,FALSE,NA,NA
"13","Another walkout protest would be held on March 11. #UPLBWalkout",FALSE,1,NA,2016-02-24 08:01:51,FALSE,NA,"702403047444582400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",2,FALSE,FALSE,NA,NA
"14","Papasin, LFS: Ngayong 2016 limang iskolar ng bayan na ang napatay ng estadong ito. #UPLBWalkout",FALSE,1,NA,2016-02-24 07:59:07,FALSE,NA,"702402361399054336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",1,FALSE,FALSE,NA,NA
"15","#UPLBWalkout now back at Hum bldg steps to continue program. #AyokongMagmahal",FALSE,0,NA,2016-02-24 07:56:33,FALSE,NA,"702401713685327872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",1,FALSE,FALSE,NA,NA
"16","Snake rally now marching to PhySci Bldg. #UPLBWalkout #AyokongMagmahal",FALSE,3,NA,2016-02-24 07:39:04,FALSE,NA,"702397313159991296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"17","Salamat sa free cotton candies econ soc! &lt;3 Ang happy magcover ng #UPLBWalkout dahil sa cotton candy na binigay nyo. Hahahaha",FALSE,1,NA,2016-02-24 07:36:10,FALSE,NA,"702396584647073792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LimitlessCha",0,FALSE,FALSE,NA,NA
"18","#UPLBWalkout holds cultural program in front of MBLH #AyokongMagmahal https://t.co/oS7cj8aTrh",FALSE,0,NA,2016-02-24 07:27:46,FALSE,NA,"702394473217662981",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",2,FALSE,FALSE,NA,NA
"19","#UPLBWalkout now at Math Bldg",FALSE,1,NA,2016-02-24 07:22:37,FALSE,NA,"702393175214825472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"20","A Jollibee mascot also poses for a photo with #UPLBWalkout after being cheered by students. #AyokongMagmahal",FALSE,5,NA,2016-02-24 07:15:24,FALSE,NA,"702391359748120578",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"21","Snake rally now at CHE. #UPLBWalkout #AyokongMagmahal https://t.co/SDUq2DWM70",FALSE,11,NA,2016-02-24 07:09:27,FALSE,NA,"702389861714624513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"22","Papasin from CAS SC urges students to fight for right to organize, explaining org tambayan issues. #UPLBWalkout",FALSE,0,NA,2016-02-24 06:55:24,FALSE,NA,"702386326289719297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"23","#UPLBWalkout gets free cotton candy from Econ Soc. https://t.co/kx94hfhKBy",FALSE,34,NA,2016-02-24 06:55:21,FALSE,NA,"702386315397038080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uplbperspective",13,FALSE,FALSE,NA,NA
"24","#AyokoMagmahal #UPLBWalkout",FALSE,1,NA,2016-02-24 06:54:16,FALSE,NA,"702386040846344192",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","asdfghjanellekl",0,FALSE,FALSE,NA,NA
"25","anyare sa #UPLBWalkout",FALSE,0,NA,2016-02-24 06:52:24,FALSE,NA,"702385569243013120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dexkolokoy",0,FALSE,FALSE,NA,NA
"26","#UPLBWalkout now at CDC, holds program https://t.co/oN16ciIiO9",FALSE,2,NA,2016-02-24 06:51:12,FALSE,NA,"702385269429936128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",1,FALSE,FALSE,NA,NA
"27","Snake rally now at CEM #UPLBWalkout https://t.co/DP7cWB2g6p",FALSE,4,NA,2016-02-24 06:47:05,FALSE,NA,"702384234896474114",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"28","#UPLBWalkout now headed to CDC",FALSE,4,NA,2016-02-24 06:38:49,FALSE,NA,"702382153674399744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"29","""Ang walkout na ito ay hindi lamang sa UPLB ukng hindi maging sa lahat ng public and private universities."" - Chachi Caneso #UPLBWalkout",FALSE,7,NA,2016-02-24 06:18:09,FALSE,NA,"702376951915397120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uplbperspective",4,FALSE,FALSE,NA,NA
"30","CSB officer spotted monitoring students as #UPLBWalkout progresses https://t.co/WxzYwmJHEn",FALSE,1,NA,2016-02-24 06:13:55,FALSE,NA,"702375886553812992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"31","Snake rally now at CAS Annex 2 #UPLBWalkout #AyokongMagmahal",FALSE,1,NA,2016-02-24 06:10:51,FALSE,NA,"702375116412481537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",2,FALSE,FALSE,NA,NA
"32","Other schools and SUCs nationwide also hold protests #UPLBWalkout #AyokongMagmahal",FALSE,2,NA,2016-02-24 06:10:12,FALSE,NA,"702374950158655488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",1,FALSE,FALSE,NA,NA
"33","#AyokongMagmahal #UPLBWalkout",FALSE,8,NA,2016-02-24 06:07:16,FALSE,NA,"702374211428458496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jacquesLB",1,FALSE,FALSE,NA,NA
"34","Snake rally now at NCAS. #UPLBWalkout #AyokongMagmahal https://t.co/7zUaLvIfj4",FALSE,5,NA,2016-02-24 05:57:47,FALSE,NA,"702371827578961921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",1,FALSE,FALSE,NA,NA
"35","More students urged to join not just for UPLB students but also to condemn recent attack on Lumad  #UPLBWalkout https://t.co/e9i6XyyHxF",FALSE,3,NA,2016-02-24 05:57:42,FALSE,NA,"702371806984990721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",0,FALSE,FALSE,NA,NA
"36","Today is also the death anniversary of Rosanna Sanfuego, a victim of education commercialization. #UPLBWalkout #AyokongMagmahal",FALSE,5,NA,2016-02-24 05:49:19,FALSE,NA,"702369697610731520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",2,FALSE,FALSE,NA,NA
"37","Students at CPCLH urged to join #UPLBWalkout https://t.co/nFQqLTprl7",FALSE,3,NA,2016-02-24 05:46:36,FALSE,NA,"702369010210488320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uplbperspective",1,FALSE,FALSE,NA,NA
